cui,cui_name,class_type,hpo,hpo_name
C0375277,Occlusion and stenosis of vertebral artery without mention of cerebral infarction,Concept,,
C0159324,"Fracture of mandible, closed",Concept,,
C0375275,Occlusion and stenosis of carotid artery without mention of cerebral infarction,Concept,,
C1561612,"Other diseases of larynx, NEC in ICD9CM",Concept,,
C0438989,Encounter due to problems with hearing,Concept,,
C0154544,"Other, mixed, or unspecified drug abuse, unspecified",Concept,,
C0154545,"Other, mixed, or unspecified drug abuse, continuous",Concept,,
C0154549,Musculoskeletal malfunction arising from mental factors,Concept,,
C0477889,Fetus and newborn affected by other and unspecified conditions of umbilical cord,Concept,,
C0477888,Fetus and newborn affected by other compression of umbilical cord,Concept,,
C0265678,Congenital fusion of spine,Concept,,
C0265677,Congenital hemivertebra,Concept,HP:0002937,Hemivertebrae
C0154326,Drug-induced delirium,Concept,,
C0154325,Other specified drug-induced mental disorders,Concept,,
C0840791,"Burn of unspecified degree of chest wall, excluding breast and nipple",Concept,,
C0027868,Neuromuscular Diseases,Concept,,
C0036416,Scleritis,Concept,HP:0100532,Scleritis
C0036415,Sclerema Neonatorum,Concept,,
C0273286,Open wound of alveolar process with complication,Concept,,
C0266094,Congenital macrocheilia,Concept,,
C0273282,"Open wound of palate, uncomplicated",Concept,,
C0155949,Exfoliation of teeth due to systemic causes,Concept,,
C0155948,Other diseases and conditions of the teeth and supporting structures,Concept,,
C0155940,Displaced tooth,Concept,,
C0155943,Arthralgia of temporomandibular joint,Concept,,
C0155942,"Temporomandibular joint disorders, adhesions and ankylosis (bony or fibrous)",Concept,,
C0745890,Reflex sympathetic dystrophy of lower extremity,Concept,,
C0155947,Dentofacial anomaly,Concept,,
C0155946,Other specified dentofacial anomalies,Concept,,
C0236827,Mixed receptive-expressive language disorder,Concept,,
C0019158,Hepatitis,Concept,HP:0012115,Hepatitis
C0152436,"Hymen, Imperforate",Concept,HP:0030011,Imperforate hymen
C0375026,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Concept,,
C0276148,Non-arthropod-borne viral diseases of the central nervous system,Concept,,
C0273267,"Open wound of cheek, uncomplicated",Concept,,
C0159917,Closed anterior dislocation of humerus,Concept,,
C0159915,Traumatic closed dislocation of temporomandibular joint,Concept,,
C0159912,"Closed multiple fractures involving both lower limbs, lower with upper limb, and lower limb(s) with rib(s) and sternum",Concept,,
C0159911,"Multiple fractures involving both lwr limbs, lwr with upr limb, and lwr limb with rib and sternum",Concept,,
C0391994,Encounter due to arthrodesis status,Concept,,
C1279412,periodic paralysis (finding),Concept,HP:0003768,Periodic paralysis
C0156795,"Tuberculosis of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition",Concept,,
C0043037,Common wart,Concept,,
C0435603,Closed fracture of coronoid process of ulna,Concept,,
C0042749,Viremia,Concept,,
C0021831,Intestinal Diseases,Concept,HP:0002242,Abnormality of the intestine
C0021830,Intestinal disaccharidase deficiencies and disaccharide malabsorption,Concept,,
C2607928,Nonsenile cataract,Concept,,
C2712941,Disorder of stomach function and feeding problems in newborn,Concept,,
C1370867,Toxic effect of carbon monoxide,Concept,,
C0032310,"Pneumonia, Viral",Concept,,
C0161640,Poisoning by local anti-infectives and anti-inflammatory drugs,Concept,,
C0161643,"Emollients, demulcents and protectant poisoning",Concept,,
C0161317,"Blisters, epidermal loss [second degree] of multiple specified sites",Concept,,
C1260466,Long-term (current) use of steroids,Concept,,
C1260467,Laparoscopic surgical procedure converted to open procedure,Concept,,
C1260462,Encounter for lengthening/adjustment of growth rod,Concept,,
C1260463,Other aftercare involving internal fixation device,Concept,,
C1260460,Fitting and adjustment of insulin pump,Concept,,
C1260461,Encounter for removal of internal fixation device,Concept,,
C0003811,Cardiac Arrhythmia,Concept,HP:0011675,Arrhythmia
C0017086,Gangrene,Concept,HP:0100758,Gangrene
C0261972,Suicide and self-inflicted injury by hanging,Concept,,
C0261974,Suicide and self-inflicted injury by other specified means,Concept,,
C0154229,Arrested development following protein-calorie malnutrition,Concept,,
C0014761,"Erythroblastosis, Fetal",Concept,,
C0042818,Visual discomfort,Concept,,
C0013238,Dry Eye Syndromes,Concept,,
C2712361,,,,
C2712365,Unspecified voice and resonance disorder,Concept,,
C2712366,Other voice and resonance disorders,Concept,,
C0261817,Other opiates and related narcotics causing adverse effects in therapeutic use,Concept,,
C0261816,Methadone analog adverse reaction,Concept,,
C0261811,Adverse effects in the therapeutic use of natural blood and blood products,Concept,,
C0261810,Gamma globulin causing adverse effects in therapeutic use,Concept,,
C0261812,Other agents affecting blood constituents causing adverse effects in therapeutic use,Concept,,
C0154154,"Thyrotoxicosis without mention of goiter or other cause, and without mention of thyrotoxic crisis or storm",Concept,,
C0154157,Postoperative hypothyroidism,Concept,,
C0270246,Meconium plug syndrome,Concept,,
C0154152,Thyrotoxicosis of other specified origin without mention of thyrotoxic crisis or storm,Concept,,
C0270249,Hematemesis AND/OR melena due to swallowed maternal blood,Concept,,
C0154158,Other postablative hypothyroidism,Concept,,
C2911491,Encounter due to other cystostomy status,Concept,,
C2911490,Encounter due to appendico-vesicostomy status,Concept,,
C0494362,Other specified metabolic disorders,Concept,,
C0695243,Mechanical complication of colostomy and enterostomy,Concept,,
C0695242,Neurogenic Bowel,Concept,,
C0695241,Other complications of gastrostomy,Concept,,
C0695240,Mechanical complication of gastrostomy,Concept,,
C0261911,Antiasthmatics causing adverse effects in therapeutic use,Concept,,
C0006267,Bronchiectasis,Concept,HP:0002110,Bronchiectasis
C0431467,Other anomalies of external ear with impairment of hearing,Concept,,
C0431468,"Middle ear anomaly, excluding ossicles",Concept,,
C0393774,Sleep-Related Bruxism,Concept,,
C0260496,Personal history of surgery to other organs,Concept,,
C0302379,"Other pulmonary insufficiency, NEC in ICD9CM",Concept,,
C0260494,Other personal history presenting hazards to health,Concept,,
C0260495,"Personal history of surgery to heart and great vessels, presenting hazards to health",Concept,,
C0260492,Personal history of allergy to other specified medicinal agents,Concept,,
C0260493,Personal history of allergy to unspecified medicinal agent,Concept,,
C0260490,Personal history of allergy to analgesic agent,Concept,,
C0260491,Personal history of allergy to serum and vaccine,Concept,,
C0302370,"Special symptoms or syndromes, NEC in ICD9CM_2014",Concept,,
C0302371,"Other and unspecified special symptoms or syndromes, NEC in ICD9CM_2014",Concept,,
C0302373,"Other specified disturbances of conduct, NEC in ICD9CM_2014",Concept,,
C0260368,Need for prophylactic vaccination and inoculation against pertussis alone,Concept,,
C0260499,"Personal history of injury, presenting hazards to health",Concept,,
C0085648,Synovial Cyst,Concept,,
C0155206,Sensory disorder of eyelid,Concept,,
C0155207,Other sensorimotor disorders of eyelid,Concept,,
C0155204,Lid retraction or lag,Concept,,
C0155202,Mechanical ptosis,Concept,,
C0158323,Other enthesopathy of ankle and tarsus,Concept,,
C0158321,Tibialis tendinitis,Concept,,
C0158328,Trigger Finger Disorder,Concept,,
C0341089,Other functional disorders of intestine,Concept,,
C0677614,Encounter due to convalescence,Concept,,
C0497134,excessive crying of infant,Concept,,
C0158377,Acute osteomyelitis involving lower leg,Concept,,
C0000737,Abdominal Pain,Concept,HP:0002027,Abdominal pain
C0267756,Abscess of peritoneum,Concept,HP:0100592,Peritoneal abscess
C1314803,Disorder of eye and adnexa NOS,Concept,,
C0161418,C1-C4 level with anterior cord syndrome,Concept,,
C0221540,Other alteration of consciousness,Concept,,
C0036202,Sarcoidosis,Concept,,
C1719330,Other decreased white blood cell count,Concept,,
C0042029,Urinary tract infection,Concept,,
C0042024,Urinary Incontinence,Concept,HP:0000020,Urinary incontinence
C0152260,Soemmerring's ring,Concept,,
C0042023,Increased frequency of micturition,Concept,HP:0100515,Pollakisuria
C0152262,Cystitis cystica,Concept,,
C0005741,Blepharitis,Concept,HP:0000498,Blepharitis
C0400985,Gallbladder calculus with acute cholecystitis and no obstruction,Concept,,
C0005745,Blepharoptosis,Concept,HP:0000508,Ptosis
C0005744,Blepharophimosis,Concept,HP:0000581,Blepharophimosis
C0005747,Blepharospasm,Concept,HP:0000643,Blepharospasm
C0021447,"Inguinal hernia, without mention of obstruction or gangrene",Concept,,
C0348597,Other forms of acute pericarditis,Concept,,
C0160239,"Subdural hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness",Concept,,
C0160238,"Subdural hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness",Concept,,
C0260967,Screening for chemical poisoning and other contamination,Concept,,
C0260965,Encounter due to screening for congenital dislocation of hip,Concept,,
C0260960,Screening for other and unspecified genitourinary conditions,Concept,,
C0008049,Chickenpox,Concept,,
C0043194,Wiskott-Aldrich Syndrome,Concept,,
C1260873,Aortic valve disorder,Concept,,
C1140680,Malignant neoplasm of ovary,Concept,,
C0700625,"Allergy, unspecified, NEC in ICD9CM",Concept,,
C1135250,Other respiratory problems after birth,Concept,,
C0029528,Other bursitis,Concept,,
C0157239,"Primary uterine inertia, unspecified as to episode of care or not applicable",Concept,,
C0029525,Other cyst of bone,Concept,,
C0029523,Other B-complex deficiencies,Concept,,
C0029520,Other anomalies of great veins,Concept,,
C0302414,"Central nervous system complications, NEC in ICD9CM_2014",Concept,,
C0302412,"Mechanical complication due to other implant and internal device, not elsewhere classified",Concept,,
C0238124,Necrotizing fasciitis,Concept,,
C0338810,Subchronic latent schizophrenia,Concept,,
C0085437,"Meningitis, Bacterial",Concept,,
C0160903,"Superficial foreign body (splinter) of foot and toe(s), without major open wound, infected",Concept,,
C0160902,"Superficial foreign body (splinter) of foot and toe(s), without major open wound and without mention of infection",Concept,,
C0160905,"Other and unspecified superficial injury of foot and toes, infected",Concept,,
C0160904,"Other and unspecified superficial injury of foot and toes, without mention of infection",Concept,,
C0160907,Superficial injury of eyelid AND/OR periocular area,Concept,,
C0431479,Other specified anomalies of ear,Concept,,
C0160909,Other and unspecified superficial injuries of eye,Concept,,
C0160908,Superficial injury of conjunctiva,Concept,,
C0159692,Closed fracture of shaft of humerus,Concept,,
C0030805,Bullous pemphigoid,Concept,,
C0375336,Iatrogenic pneumothorax,Concept,,
C0375334,chronic obstructive asthma with status asthmaticus,Concept,,
C0375333,"Chronic obstructive asthma, unspecified",Concept,,
C0236802,Gender identity disorder of childhood,Concept,,
C0236800,Panic disorder with agoraphobia,Concept,,
C0260778,Encounter for radiotherapy,Concept,,
C0869289,"Interpersonal problems, not elsewhere classified",Concept,,
C0869286,"Other complications of procedures, NEC in ICD9CM",Concept,,
C0009951,,,,
C0009952,Febrile Convulsions,Concept,HP:0002373,Febrile seizures
C0260777,Encounter for other and unspecified procedures and aftercare,Concept,,
C0260774,Care involving orthoptic training,Concept,,
C0375259,Mitral and aortic valve disease,Concept,,
C0020541,"Hypertension, Portal",Concept,HP:0001409,Portal hypertension
C0375257,Abnormal auditory perception,Concept,,
C1455996,Encounter due to genetic susceptibility to other disease,Concept,,
C0006384,Bundle-Branch Block,Concept,HP:0011710,Bundle branch block
C1561638,"Chronic kidney disease, Stage I",Concept,,
C0006386,Bunion,Concept,,
C0159348,Closed fracture of other facial bones,Concept,,
C0155177,Eczematous dermatitis of eyelid,Concept,,
C0348860,Hypertensive renal disease with renal failure,Concept,,
C0740179,Bone marrow replaced by transplant,Concept,,
C0158115,Contracture of lower leg joint,Concept,,
C0010314,Cri-du-Chat Syndrome,Concept,,
C1442903,Exostoses,Concept,HP:0100777,Exostoses
C0155699,Cardiomyopathy in other diseases classified elsewhere,Concept,,
C0155926,Disorder of hard tissues of teeth,Concept,,
C0155924,Other specified disorders of tooth development and eruption,Concept,,
C0155922,Tooth development and eruption disorder,Concept,,
C0155921,Tracheostomy complication,Concept,,
C0004604,Back Pain,Concept,HP:0003418,Back pain
C0004608,Retinopathy background,Concept,,
C0038002,Splenomegaly,Concept,HP:0001744,Splenomegaly
C0156005,"Chronic or unspecified duodenal ulcer with hemorrhage, without mention of obstruction",Concept,,
C0008924,Cleft Lip,Concept,HP:0000204,Cleft upper lip
C0008925,Cleft Palate,Concept,HP:0000175,Cleft palate
C0549470,Preglaucoma,Concept,,
C0156008,"Chronic or unspecified duodenal ulcer with perforation, without mention of obstruction",Concept,,
C0155073,Superficial keratitis without conjunctivitis,Concept,,
C0155074,Superficial keratitis,Concept,,
C0155078,Photokeratitis,Concept,,
C0276162,Adenoviral enteritis,Concept,,
C0159973,"Other tear of cartilage or meniscus of knee, current",Concept,,
C0554123,Unilateral inguinal hernia with obstruction but no gangrene,Concept,,
C0347071,Malignant neoplasm of other and unspecified sites,Concept,,
C0036690,Septicemia,Concept,HP:0100806,Sepsis
C0398661,Chronic congestive splenomegaly,Concept,,
C0435623,Closed fracture of upper end of radius AND ulna,Concept,,
C1456263,Unspecified viral hepatitis C without hepatic coma,Concept,,
C1456262,Acute hepatitis C without mention of hepatic coma,Concept,,
C0001163,Vestibulocochlear Nerve Diseases,Concept,,
C0001169,Acquired coagulation factor deficiency,Concept,,
C0273365,Open wound of finger without complication,Concept,,
C0161333,"Burn [any degree] involving 20-29 percent of body surface with third degree burn, less than 10 percent or unspecified",Concept,,
C1260404,primary hypercoagulable state,Concept,,
C0157754,,,,
C0161624,Poisoning by saluretic,Concept,,
C1260408,Encephalopathy NEC in ICD10CM,Concept,,
C1260409,myasthenia gravis without acute exacerbation,Concept,,
C0263840,Haemarthrosis involving lower leg,Concept,,
C0155233,Epiphora due to excess lacrimation,Concept,,
C0155544,External ear conductive hearing loss,Concept,,
C0079957,Other specified bullous dermatoses,Concept,,
C0936215,Vitamin B 6 Deficiency,Concept,HP:0008326,Vitamin B6 deficiency
C0155541,Other otorrhea,Concept,,
C2937358,Cerebral Hemorrhage,Concept,HP:0001342,Cerebral hemorrhage
C0155234,Epiphora due to insufficient drainage,Concept,,
C0752304,Hypoxic-Ischemic Encephalopathy,Concept,,
C1719565,"Obesity complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable",Concept,,
C0877771,"Angioneurotic edema, NEC in ICD9CM_2014",Concept,,
C1561793,aspiration of meconium with respiratory symptoms,Concept,,
C0232867,Orthostatic proteinuria,Concept,,
C0481197,Adverse effects in the therapeutic use of carbonic-anhydrase inhibitors,Concept,,
C2712343,ALLERGIC RHINITIS NEC in ICD9CM,Concept,,
C0158253,Displacement of cervical intervertebral disc without myelopathy,Concept,,
C1744615,Multiple and unspecified open wound of upper limb,Concept,,
C1744616,"Open wound of knee, leg (except thigh), and ankle",Concept,,
C2349736,Methicillin susceptible Staphylococcus aureus septicemia,Concept,,
C0494165,Secondary malignant neoplasm of liver,Concept,,
C0339286,Acute hydrops keratoconus,Concept,,
C0160579,"Open wound of other and unspecified parts of trunk, without mention of complication",Concept,,
C0035317,Retinal Hemorrhage,Concept,HP:0000573,Retinal hemorrhage
C0160575,"Open wound of abdominal wall, anterior, without mention of complication",Concept,,
C0023176,Lead Poisoning,Concept,,
C0158759,"Longitudinal deficiency, tarsals or metatarsals, complete or partial (with or without incomplete phalangeal deficiency)",Concept,,
C0158758,"Longitudinal deficiency, fibular, complete or partial (with or without distal deficiencies, incomplete)",Concept,,
C0158752,Transverse deficiency of leg,Concept,,
C0158757,"Longitudinal deficiency, tibia, complete or partial (with or without distal deficiencies, incomplete)",Concept,,
C0158755,"Longitudinal deficiency, femoral, complete or partial (with or without distal deficiencies, incomplete)",Concept,,
C0158754,"Longitudinal deficiency, combined, involving femur, tibia, and fibula (complete or incomplete)",Concept,,
C0009726,Congenital pigmentary skin anomalies,Concept,,
C0261696,Striking against or struck accidentally by objects or persons,Concept,,
C0261695,Accidentally struck by falling object,Concept,,
C0261694,Foreign body accidentally entering other orifice,Concept,,
C0261693,Foreign body accidentally entering eye and adnexa,Concept,,
C0261692,Accidental mechanical suffocation by other specified means,Concept,,
C0029888,Suppurative otitis media,Concept,,
C0264865,Valvular endocarditis,Concept,,
C0029882,Otitis Media,Concept,HP:0000388,Otitis media
C0260348,Encounter due to contact with or exposure to other communicable diseases,Concept,,
C0260341,Encounter due to contact with or exposure to tuberculosis,Concept,,
C0260346,Encounter due to contact with or exposure to venereal disease,Concept,,
C0260347,Encounter due to contact with or exposure to other viral disease,Concept,,
C0260345,Encounter due to contact with or exposure to rabies,Concept,,
C0399424,Periapical abscess no sinus,Concept,,
C1455742,Chronic mucoid otitis media,Concept,,
C0040997,Trigeminal Neuralgia,Concept,HP:0100661,Trigeminal neuralgia
C0494831,Other atopic dermatitis,Concept,,
C0158344,Nontraumatic rupture of flexor tendons of hand and wrist,Concept,,
C0495447,Other transitory neonatal electrolyte disturbance,Concept,,
C0477986,Other specified congenital malformations of eye,Concept,,
C0020480,Hyperlipoproteinemia Type IV,Concept,,
C0497156,Lymphadenopathy,Concept,HP:0002716,Lymphadenopathy
C0456017,Chronic respiratory disease in perinatal period,Concept,,
C0677631,heart valve transplant,Concept,,
C2873812,Other neutropenia,Concept,,
C0677639,Encounter due to social maladjustment,Concept,,
C0011251,Delusional disorder,Concept,,
C0030312,Pancytopenia,Concept,HP:0001876,Pancytopenia
C0266095,Congenital microcheilia,Concept,,
C0261432,Accidental poisoning by drug primarily acting on smooth and skeletal muscle and respiratory system,Concept,,
C0261431,"Accidental poisoning by water, mineral, and uric acid metabolism drugs",Concept,,
C0261430,Accidental poisoning by drug primarily affecting gastrointestinal system,Concept,,
C0261435,Accidental poisoning by drugs,Concept,,
C0261434,Accidental poisoning by other specified drugs,Concept,,
C0155488,Partial loss or necrosis of ear ossicles,Concept,,
C0155489,Cholesteatoma of attic,Concept,,
C0158962,Hemolytic disease of fetus OR newborn due to RhD isoimmunization,Concept,,
C0155483,Other middle ear adhesions and combinations,Concept,,
C0155486,"Impaired mobility of ear ossicles, except malleus",Concept,,
C0155487,Discontinuity or dislocation of ear ossicles,Concept,,
C0161432,"T7-T12 level spinal cord injury, unspecified",Concept,,
C0160258,"Extradural hemorrhage following injury, without mention of open intracranial wound, with brief (less than 1 hour) loss of consciousness",Concept,,
C0221565,Encounter due to family history of arthritis,Concept,,
C1305964,Urethra and bladder neck atresia and stenosis,Concept,,
C0034734,Raynaud Disease,Concept,,
C0270191,Perinatal intraventricular hemorrhage,Concept,,
C0015310,Exotropia,Concept,HP:0000577,Exotropia
C1719353,Encephalitis and encephalomyelitis following immunization procedures,Concept,,
C1719352,"Other encephalitis, myelitis, and encephalomyelitis due to other infections classified elsewhere",Concept,,
C1719350,Other encephalitis and encephalomyelitis due to other infections classified elsewhere,Concept,,
C0018674,Craniocerebral Trauma,Concept,,
C0404531,Hypertrophy of labia,Concept,HP:0000065,Labial hypertrophy
C0401143,Allergic gastroenteritis and colitis,Concept,,
C0024103,Mass in breast,Concept,,
C1719682,Other genetic testing of female,Concept,,
C0161292,Full-thickness skin loss due to burn (third degree NOS) of ankle,Concept,,
C1719684,Other genetic testing of male,Concept,,
C0260902,Screening examination for malaria in ICD9CM,Concept,,
C0160748,Injury of radial blood vessel,Concept,,
C0260909,Screening examination for other specified parasitic infections,Concept,,
C0008711,Chronic rhinitis,Concept,HP:0002257,Chronic rhinitis
C0008712,Chronic sphenoidal sinusitis,Concept,,
C0153886,Acute myeloid leukemia in remission,Concept,,
C0018099,Gout,Concept,HP:0001997,Gout
C1313885,Hereditary edema of legs,Concept,,
C0158506,Curvature of spine associated with other conditions,Concept,,
C0158507,kyphosis associated with other conditions,Concept,,
C0158504,Scoliosis due to radiation,Concept,,
C0158505,Thoracogenic scoliosis,Concept,,
C0158502,Resolving infantile idiopathic scoliosis,Concept,,
C0158503,Progressive infantile idiopathic scoliosis,Concept,,
C0158509,scoliosis associated with other conditions,Concept,,
C2711989,Abnormal function study of cardiovascular system NEC in ICD9CM,Concept,,
C1561831,Congenital and hereditary thrombocytopenic purpura,Concept,,
C1561830,"Primary thrombocytopenia,unspecified",Concept,,
C0153083,Hepatitis delta without mention of active hepatitis B disease with hepatic coma,Concept,,
C0029505,"Hand, except finger injury",Concept,,
C0029507,"Other specified sites, including multiple injury",Concept,,
C0029506,"Knee, leg, ankle, and foot injury",Concept,,
C0029509,Unspecified site injury,Concept,,
C0029508,Other and unspecified injury to trunk,Concept,,
C0157258,"Unspecified abnormality of labour, antepartum",Concept,,
C0489990,Hemiplegia of dominant side as late effect of cerebrovascular disease,Concept,,
C0489991,Hemiplegia of nondominant side as late effect of cerebrovascular disease,Concept,,
C0489994,"Late effects of cerebrovascular disease, monoplegia of upper limb affecting dominant side",Concept,,
C0027611,Neonatal dacryocystitis and conjunctivitis (disorder),Concept,,
C0001621,Adrenal Gland Diseases,Concept,,
C0553983,Other peripheral vascular disease,Concept,,
C0160054,Sprains and strains of unspecified site of shoulder and upper arm,Concept,,
C2921272,Other specified prophylactic or treatment measure,Concept,,
C0031154,Peritonitis,Concept,HP:0002586,Peritonitis
C0151482,Megaloblastic anemia due to folate deficiency,Concept,,
C0160960,"Contusion of multiple sites, NEC in ICD9CM_2014",Concept,,
C1706492,Other neoplastic lymphatic and hematopoietic tissues,Concept,,
C0375352,Other esophagitis,Concept,,
C0375359,Chronic left-sided ulcerative colitis,Concept,,
C0006012,Borderline Personality Disorder,Concept,HP:0012076,Borderline personality disorder
C0260750,Encounter for fitting and adjustment of orthodontic device,Concept,,
C0260753,Fitting and adjustment of orthopedic device,Concept,,
C0869515,"Precocious sexual development and puberty, NEC in ICD9CM_2014",Concept,,
C0260755,Fitting and adjustment of other and unspecified device,Concept,,
C0869513,"Accidental poisoning by aromatic analgesics, not elsewhere classified",Concept,,
C0260757,Aftercare involving internal fixation device,Concept,,
C0260756,Encounter due to other orthopedic aftercare,Concept,,
C0151620,Hypertensive Encephalopathy,Concept,,
C0260758,Encounter for unspecified orthopedic aftercare,Concept,,
C0375239,"Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus",Concept,,
C0154050,Hemangioma of intracranial structure,Concept,,
C0154052,Hemangioma of intra-abdominal structure,Concept,,
C0154054,benign neoplasm of lymph nodes,Concept,,
C0154055,Benign neoplasm of other specified sites,Concept,,
C0795685,"Disorders of meninges, not elsewhere classified in ICD10CM",Concept,,
C0085413,"Polycystic Kidney, Autosomal Dominant",Concept,,
C0079157,Reduction deformities of brain,Concept,,
C0406078,Cellulitis and abscess of hand excluding digits,Concept,,
C0339877,Acute tracheitis without obstruction,Concept,,
C0031485,Phenylketonurias,Concept,,
C1443030,Opiate and narcotic poisoning,Concept,,
C0027821,Neurocirculatory Asthenia,Concept,,
C0030353,Papilledema,Concept,HP:0001085,Papilledema
C0029226,"Hallucinations, Organic",Concept,,
C0272905,Sprain of ligament of tarsometatarsal joint,Concept,,
C0155673,Other chronic pulmonary heart diseases,Concept,,
C0155904,Respiratory conditions due to other specified external agents,Concept,,
C0158283,Ossification of posterior longitudinal ligament in cervical region,Concept,,
C0155670,Other specified forms of chronic ischemic heart disease,Concept,,
C0155677,Other specified diseases of pulmonary circulation,Concept,,
C0158284,Cervical syndrome NEC in ICD9CM_2014,Concept,,
C0155903,Chronic and other pulmonary manifestations due to radiation,Concept,,
C0155902,Acute pulmonary manifestations due to radiation,Concept,,
C0155679,Acute pericarditis,Concept,,
C0155248,Acquired stenosis of nasolacrimal duct,Concept,,
C0272842,Open dislocation of knee,Concept,,
C0155012,Generalized visual field contraction or constriction,Concept,,
C0024894,Mastitis,Concept,,
C0001363,Acute vascular insufficiency of intestine (disorder),Concept,,
C0001361,Acute tonsillitis,Concept,,
C0001365,Acute ill-defined cerebrovascular disease,Concept,,
C0156287,Prolapsed urethral mucosa,Concept,,
C0156284,Postoperative urethral stricture,Concept,,
C0236773,Depressed bipolar I disorder,Concept,,
C0004622,"Bacterial infection, unspecified, in conditions classified elsewhere and of unspecified site",Concept,,
C0004626,"Pneumonia, Bacterial",Concept,,
C1456241,Narcolepsy in conditions classified elsewhere without cataplexy,Concept,,
C1456240,Narcolepsy without cataplexy,Concept,,
C0435644,Closed fracture of scaphoid bone of wrist,Concept,,
C0021879,"Intracranial injury of other and unspecified nature without mention of open intracranial wound, unspecified state of consciousness",Concept,,
C0021878,Intracranial injury of other and unspecified nature without mention of open intracranial wound,Concept,,
C0416707,Accidental poisoning by other cleansing and polishing agents,Concept,,
C0021874,Intracranial abscess,Concept,,
C0266573,Congenital ptosis,Concept,HP:0007970,Congenital ptosis
C0154864,Other dystrophies primarily involving the sensory retina,Concept,,
C0161609,Poisoning by other and unspecified agents primarily affecting the cardiovascular system,Concept,,
C0157735,Other specified disorders of sweat glands,Concept,,
C0157736,Other specified diseases of sebaceous glands,Concept,,
C0161606,Poisoning by other antihypertensive agents,Concept,,
C0161601,Poisoning by cardiotonic glycosides and drugs of similar action,Concept,,
C0157731,Other specified diseases of nail,Concept,,
C0161602,Poisoning by antilipemic and antiarteriosclerotic drugs,Concept,,
C0014544,Epilepsy,Concept,,
C0018790,Cardiac Arrest,Concept,HP:0001695,Cardiac arrest
C0159956,Traumatic dislocation of joint of finger,Concept,,
C0018799,Heart Diseases,Concept,,
C0156797,"Tuberculosis, antepartum",Concept,,
C1510471,Vitamin Deficiency,Concept,,
C1719542,Intravaginal torsion of spermatic cord,Concept,,
C0348651,Other diseases of capillaries,Concept,,
C0348650,Embolism and thrombosis of other arteries,Concept,,
C0002453,Amenorrhea,Concept,,
C0700297,Carrier or suspected carrier of Group B streptococcus,Concept,,
C1955773,Unilateral neural hearing loss,Concept,,
C1955772,Unilateral conductive hearing loss,Concept,,
