topic,time,cui,cui_name,curated_nameprob,hpo,hpo_name
0,1,C2349675,Fever and other physiologic disturbances of temperature regulation,fever and  physiologic disturbances of temperature regulation,0.011958749083428939,HP:0004370,Abnormality of temperature regulation
0,1,C0154633,Other developmental speech or language disorder, delayed speech or language disorder,0.008777267063770626,HP:0000750,Delayed speech and language development
0,1,C0302371,"Other and unspecified special symptoms or syndromes, NEC in ICD9CM_2014"," and  special symptoms or syndromes,",0.0076109675908272644,HP:0000708,Behavioral abnormality
0,1,C0375319,Acute bronchiolitis due to other infectious organisms,acute bronchiolitis due to  infectious organisms,0.007448536939694904,,
0,1,C0575081,Gait abnormality,,0.007403629089181432,HP:0001288,Gait disturbance
0,1,C0010200,Coughing,,0.007079850923749831,HP:0012735,Cough
0,1,C0009763,Conjunctivitis,,0.007071965079544951,HP:0000509,Conjunctivitis
0,1,C0041341,Tuberous Sclerosis,tuberous sclerosis,0.006741759422809239,,
0,1,C0015230,Exanthema,,0.00626853810929694,HP:0000988,Skin rash
0,1,C0270805,Hemiplegic cerebral palsy,hemiplegic cerebral palsy,0.005846928104098258,HP:0100021,Cerebral palsy
0,1,C0029512,Other and unspecified noninfectious gastroenteritis and colitis,gastrointestinal inflammation,0.005775185449120051,HP:0004386,Gastrointestinal inflammation
0,1,C0520966,Abnormal coordination,,0.005621490988281259,HP:0002311,Incoordination
0,1,C1279224,"Infectious colitis, enteritis and gastroenteritis","infectious colitis, enteritis and gastroenteritis",0.0054915634462291175,HP:0002583,Colitis
0,1,C0424605,Developmental delay (disorder),developmental delay (disorder),0.004915132031200817,HP:0001263,Global developmental delay
0,1,C0840927,Neurologic neglect syndrome,abnormality of the nervous system,0.004677382560769543,HP:0000707,Abnormality of the nervous system
0,1,C0011991,Diarrhea,,0.004661086255140273,HP:0002014,Diarrhea
0,1,C0728950,Vomiting alone,vomiting alone,0.004316616142443061,HP:0002013,Vomiting
0,1,C0236826,Developmental expressive language disorder,expressive language delay,0.004312841185795742,HP:0002474,Expressive language delay
0,1,C0154247,Other disturbances of straight-chain amino-acid metabolism, disturbances of straight-chain amino-acid metabolism,0.00426763474661981,,
0,1,C0016667,Fragile X Syndrome,fragile x syndrome,0.00426736186595566,,
0,1,C0009952,Febrile Convulsions,,0.004187795313545255,HP:0002373,Febrile seizures
0,1,C0011175,Dehydration,,0.003960926613726312,HP:0001944,Dehydration
0,1,C0001344,Acute pharyngitis,acute pharyngitis,0.0037601460070617217,HP:0012649,Increased inflammatory response
0,1,C0018674,Craniocerebral Trauma,craniocerebral trauma,0.003331094493053341,HP:0012638,Abnormality of nervous system physiology
0,1,C0011974,Diaper Rash,diaper rash,0.002965800983906914,HP:0000988,Skin rash
0,1,C0271446,Non-suppurative otitis media,non-suppurative otitis media,0.0028310941780274046,HP:0000403,Recurrent otitis media
0,1,C0152214,Intermittent alternating exotropia,intermittent alternating exotropia,0.002772548816739588,HP:0000577,Exotropia
0,1,C0009806,Constipation,,0.002628794208436672,HP:0002019,Constipation
0,1,C0154623,Unspecified emotional disturbance of childhood or adolescence, emotional disturbance ,0.002515263889329159,HP:0100851,Abnormal emotion/affect behavior
0,1,C0006842,Candidiasis of skin and nails,candidiasis of skin and nails,0.0025045728546737615,HP:0002728,Chronic mucocutaneous candidiasis
0,1,C0311394,Difficulty walking,,0.002460785157136535,HP:0002355,Difficulty walking
0,1,C0340629,Aortic aneurysm without mention of rupture NOS,aortic aneurysm ,0.002436211805930957,HP:0004942,Aortic aneurysm
0,1,C0021567,"Insect bite, nonvenomous, of other, multiple, and unspecified sites, without mention of infection","insect bite, nonvenomous, of , multiple, and  sites, ",0.0023834085667252345,HP:0003781,Excessive salivation
0,1,C0085639,Falls,,0.002352140672056988,HP:0002527,Falls
0,1,C0375487,"Contact dermatitis and other eczema, unspecified cause","contact dermatitis and  eczema,  cause",0.002341517410394385,HP:0001047,Atopic dermatitis
0,1,C0149654,Conduct Disorder,oppositional defiant disorder,0.0022570965561646873,HP:0010865,Oppositional defiant disorder
0,1,C0595979,"Colitis, enteritis and gastroenteritis presumed infectious","colitis, enteritis and gastroenteritis presumed infectious",0.0020579162912975598,,
0,1,C0348799,Acute bronchiolitis due to respiratory syncytial virus,acute bronchiolitis due to respiratory syncytial virus,0.002051650983843799,HP:0002088,Abnormality of the lung
0,1,C0337228,Fall from bed,fall from bed,0.0020036094342751835,,
0,1,C0153062,Viral exanthem,viral exanthem,0.001971102261531208,HP:0000988,Skin rash
0,1,C0494831,Other atopic dermatitis, atopic dermatitis,0.0019400531824543047,HP:0001047,Atopic dermatitis
0,1,C0158359,Laxity of ligament,,0.0019356904548567123,HP:0001380,Ligamentous laxity
0,1,C0260774,Care involving orthoptic training,care involving orthoptic training,0.0018211158136446878,,
0,1,C1456302,Unspecified transient mental disorder in conditions classified elsewhere, transient mental disorder in conditions classified elsewhere,0.0017501074644549722,,
0,1,C0013456,Earache,,0.0017065642348426222,HP:0030766,Ear pain
0,1,C0018916,Hemangioma,,0.0016718297407783743,HP:0001028,Hemangioma
0,1,C1176342,"Asthma, unspecified type, with (acute) exacerbation","asthma,  type, ",0.0016485456699303796,HP:0002099,Asthma
0,1,C0406047,Local infection skin/subcut tissue NOS,local infection skin/subcut tissue nos,0.0016085563582087941,,
0,1,C0332544,Abnormal weight gain,abnormal weight gain,0.0015776872284036984,HP:0004323,Abnormality of body weight
0,1,C0043144,Wheezing,,0.0015287226998176116,HP:0030828,Wheezing
0,1,C0029785,Other specified disorders of penis, specified disorders of penis,0.0015257592387777589,HP:0000032,Abnormality of male external genitalia
0,1,C0037268,Skin Abnormalities,,0.0014769826444348702,HP:0000951,Abnormality of the skin
0,1,C0021092,Impacted cerumen,,0.0014364532354156497,HP:0030788,Impacted cerumen
0,1,C0338982,Other specific developmental learning difficulties, specific developmental learning difficulties,0.001419273655625024,HP:0001263,Global developmental delay
0,1,C0477458,Other specified hearing loss, specified hearing loss,0.0013894593806531809,HP:0000365,Hearing impairment
0,1,C0878750,"Fall from other slipping, tripping, or stumbling","fall from  slipping, tripping, or stumbling",0.0013427557777054456,HP:0012638,Abnormality of nervous system physiology
0,1,C0495615,Congenital abnormality of skull and face bones,congenital abnormality of skull and face bones,0.0013362927059772066,HP:0000929,Abnormality of the skull
0,1,C0006849,Oral candidiasis,oral candidiasis,0.0012501196757044118,HP:0009098,Chronic oral candidiasis
0,1,C0028756,"Obesity, Morbid","obesity, ",0.0012363788336368945,HP:0001513,Obesity
0,1,C0158352,"Muscle, ligament and fascia disorders",muscle abnormality,0.001227254262769737,HP:0003011,Abnormality of the musculature
0,1,C0029601,Other respiratory abnormalities, respiratory abnormalities,0.0012170454339385257,HP:0002086,Abnormality of the respiratory system
0,1,C0016952,Galactosemias,,0.0011674863399703322,HP:0004919,Galactose intolerance
0,1,C0028754,Obesity,,0.0011516452029082375,HP:0001513,Obesity
0,1,C1719694,Attention to dressings and sutures,attention to dressings and sutures,0.001142299723991752,HP:0000159,Abnormality of the lip
0,1,C0478095,Other specified congenital malformations,phenotypic abnormality,0.001095987549592086,HP:0000118,Phenotypic abnormality
0,1,C1719714,"Stomatitis and mucositis, unspecified","stomatitis and mucositis, ",0.0010846391945441359,HP:0011107,Recurrent aphthous stomatitis
0,1,C0018681,Headache,,0.001074415673838171,HP:0002315,Headache
0,1,C0010417,Cryptorchidism,,0.0010532551598321648,HP:0000028,Cryptorchidism
0,1,C0029486,Other acquired deformity of other parts of limb, acquired deformity of  parts of limb,0.0010505424416029018,HP:0002814,Abnormality of the lower limb
0,1,C0021414,Influenza with respiratory manifestation other than pneumonia,influenza ,0.0010106005714085058,,
0,1,C0395862,Acute suppurative otitis media with spontaneous rupture of ear drum,acute suppurative otitis media ,0.0010067915401178694,HP:0000403,Recurrent otitis media
0,2,C0155886,"Asthma, unspecified type, without mention of status asthmaticus","asthma,  type, ",0.03573351548415136,HP:0002099,Asthma
0,2,C0029882,Otitis Media,,0.03392117121409279,HP:0000388,Otitis media
0,2,C0264222,Acute upper respiratory infection,acute respiratory tract infection,0.026956469527684372,HP:0011948,Acute respiratory tract infection
0,2,C2349675,Fever and other physiologic disturbances of temperature regulation,fever and  physiologic disturbances of temperature regulation,0.021969164207235877,HP:0004370,Abnormality of temperature regulation
0,2,C0153114,Unspecified viral infection in conditions classified elsewhere and of unspecified site, viral infection in conditions classified elsewhere and of  site,0.016813498715899388,HP:0002719,Recurrent infections
0,2,C0728950,Vomiting alone,vomiting alone,0.016024966869548452,HP:0002013,Vomiting
0,2,C0029512,Other and unspecified noninfectious gastroenteritis and colitis,gastrointestinal inflammation,0.015862282088088597,HP:0004386,Gastrointestinal inflammation
0,2,C0339951,"Pneumonia, organism unspecified","pneumonia, ",0.013322632315618041,HP:0002090,Pneumonia
0,2,C0546884,Hypovolemia,,0.011641922589554503,HP:0011106,Hypovolemia
0,2,C0490011,Other convulsions, convulsions,0.010264974848435764,HP:0001250,Seizures
0,2,C0699815,Feeding difficulties and mismanagement,feeding difficulties and mismanagement,0.010057011421140695,HP:0011968,Feeding difficulties
0,2,C0154633,Other developmental speech or language disorder, delayed speech or language disorder,0.009599368401782198,HP:0000750,Delayed speech and language development
0,2,C0424605,Developmental delay (disorder),developmental delay (disorder),0.009451358423910896,HP:0001263,Global developmental delay
0,2,C0010200,Coughing,,0.009260580465344925,HP:0012735,Cough
0,2,C0549423,Obstructive Hydrocephalus,,0.009075647937494689,HP:0010953,Noncommunicating hydrocephalus
0,2,C0155878,Extrinsic asthma without mention of status asthmaticus,extrinsic asthma ,0.009028171105378279,HP:0002099,Asthma
0,2,C0395861,Acute suppurative otitis media without spontaneous rupture of ear drum,acute suppurative otitis media ,0.008888357289808257,HP:0000403,Recurrent otitis media
0,2,C0017168,Gastroesophageal reflux disease,,0.00886632844487884,HP:0002020,Gastroesophageal reflux
0,2,C0029601,Other respiratory abnormalities, respiratory abnormalities,0.008616829108889333,HP:0002086,Abnormality of the respiratory system
0,2,C0011175,Dehydration,,0.008159651153297325,HP:0001944,Dehydration
0,2,C0009806,Constipation,,0.006267002933849771,HP:0002019,Constipation
0,2,C0011991,Diarrhea,,0.006240589815873569,HP:0002014,Diarrhea
0,2,C0375487,"Contact dermatitis and other eczema, unspecified cause","contact dermatitis and  eczema,  cause",0.005604547542715948,HP:0001047,Atopic dermatitis
0,2,C0494831,Other atopic dermatitis, atopic dermatitis,0.0055815472990960735,HP:0001047,Atopic dermatitis
0,2,C0260334,Pneumonitis due to inhalation of food or vomitus,pneumonitis due to inhalation of food or vomitus,0.005435332235715539,,
0,2,C0010380,Croup,abnormality of the vocal cords,0.005385811725893988,HP:0008777,Abnormality of the vocal cords
0,2,C0009952,Febrile Convulsions,,0.00512724327180069,HP:0002373,Febrile seizures
0,2,C0001122,Acidosis,,0.004931067570362513,HP:0001941,Acidosis
0,2,C0020256,Congenital Hydrocephalus,congenital hydrocephalus,0.004771393048790141,HP:0000238,Hydrocephalus
0,2,C0038218,Status Asthmaticus,,0.004752074579975869,HP:0012653,Status Asthmaticus
0,2,C0152091,Osteochondropathy,osteochondropathy,0.004670823259728184,HP:0001367,Abnormal joint morphology
0,2,C0001344,Acute pharyngitis,acute pharyngitis,0.004464692951003467,HP:0012649,Increased inflammatory response
0,2,C0154721,"Epilepsy, unspecified, without mention of intractable epilepsy","epilepsy, , ",0.004425169320662238,HP:0001250,Seizures
0,2,C1279224,"Infectious colitis, enteritis and gastroenteritis","infectious colitis, enteritis and gastroenteritis",0.004310733278867875,HP:0002583,Colitis
0,2,C1176342,"Asthma, unspecified type, with (acute) exacerbation","asthma,  type, ",0.004292121216384004,HP:0002099,Asthma
0,2,C0149654,Conduct Disorder,oppositional defiant disorder,0.004119462882695229,HP:0010865,Oppositional defiant disorder
0,2,C0489952,"Intestinal infection due to other organism, NEC in ICD9CM","intestinal infection due to  organism,",0.003955769391471695,HP:0004798,Recurrent infection of the gastrointestinal tract
0,2,C0026703,Mucopolysaccharidoses,mucopolysaccharidoses,0.003854918280493347,,
0,2,C0015230,Exanthema,,0.003764456617418454,HP:0000988,Skin rash
0,2,C0011168,Deglutition Disorders,,0.0036921692258736166,HP:0002015,Dysphagia
0,2,C0029753,Other specified cerebral degenerations in childhood, specified cerebral degenerations in ,0.0034372796953891826,HP:0007313,Cerebral degeneration
0,2,C0009763,Conjunctivitis,,0.0034291329825941147,HP:0000509,Conjunctivitis
0,2,C0014868,Esophagitis,,0.0033888804049635743,HP:0100633,Esophagitis
0,2,C0162316,Iron deficiency anemia,,0.0033041830417110786,HP:0001891,Iron deficiency anemia
0,2,C0018818,Ventricular Septal Defects,,0.0031321919530942874,HP:0001629,Ventricular septal defect
0,2,C2712343,ALLERGIC RHINITIS NEC in ICD9CM,allergic rhinitis,0.0030784047938250386,HP:0003193,Allergic rhinitis
0,2,C0149516,Chronic sinusitis,,0.002997143197062829,HP:0011109,Chronic sinusitis
0,2,C0079157,Reduction deformities of brain,reduction deformities of brain,0.0029176289875876907,HP:0012443,Abnormality of brain morphology
0,2,C0154709,"Generalized convulsive epilepsy, without mention of intractable epilepsy","generalized convulsive epilepsy, ",0.0029060941505294566,HP:0002197,Generalized seizures
0,2,C0039231,Tachycardia,,0.0028378820842918425,HP:0001649,Tachycardia
0,2,C0011974,Diaper Rash,diaper rash,0.0027251024284790345,HP:0000988,Skin rash
0,2,C1384666,hearing impairment,,0.002698388407236327,HP:0000365,Hearing impairment
0,2,C0340419,Other primary cardiomyopathies, primary cardiomyopathies,0.002659804668811083,HP:0001627,Abnormal heart morphology
0,2,C0494843,Ingestion dermatitis due to food,ingestion dermatitis due to food,0.002601055451227427,,
0,2,C1306246,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures, without mention of intractable epilepsy", (focal) () epilepsy and epileptic syndromes ,0.002592360078641483,,
0,2,C2607914,Allergic rhinitis (disorder),,0.002571270882882297,HP:0003193,Allergic rhinitis
0,2,C0027498,Nausea and vomiting,,0.002548242197040247,HP:0002017,Nausea and vomiting
0,2,C0700625,"Allergy, unspecified, NEC in ICD9CM","allergy, ,",0.0022961402379186005,HP:0012393,Allergy
0,2,C0022661,"Kidney Failure, Chronic","kidney failure, chronic",0.0022723375091701185,HP:0003774,Stage 5 chronic kidney disease
0,2,C1955750,Speech and language developmental delay due to hearing loss,speech and language developmental delay due to hearing loss,0.0022271241439779455,HP:0000365,Hearing impairment
0,2,C0018674,Craniocerebral Trauma,craniocerebral trauma,0.002221518077504317,HP:0012638,Abnormality of nervous system physiology
0,2,C0020676,Hypothyroidism,,0.0021748570550134093,HP:0000821,Hypothyroidism
0,2,C0040761,Transposition of Great Vessels,transposition of great vessels,0.00216558787478803,HP:0001669,Transposition of the great arteries
0,2,C0375319,Acute bronchiolitis due to other infectious organisms,acute bronchiolitis due to  infectious organisms,0.0021336920413009357,,
0,2,C0152424,Common ventricle,,0.002115084878773695,HP:0001750,Single ventricle
0,2,C0018802,Congestive heart failure,,0.0020568193653832975,HP:0001635,Congestive heart failure
0,2,C0036689,Streptococcal sore throat,streptococcal sore throat,0.0020158192950396002,,
0,2,C0302379,"Other pulmonary insufficiency, NEC in ICD9CM"," pulmonary insufficiency,",0.002010901717910814,HP:0010444,Pulmonary insufficiency
0,2,C0162164,Congenital stenosis of pulmonary valve,congenital stenosis of pulmonary valve,0.0019835205416695906,HP:0001642,Pulmonic stenosis
0,2,C0013069,Double Outlet Right Ventricle,,0.0019835114995498887,HP:0001719,Double outlet right ventricle
0,2,C0027730,Nephrotic syndrome with unspecified pathological lesion in kidney,nephrotic syndrome ,0.0019813788634586,HP:0000100,Nephrotic syndrome
0,2,C0021567,"Insect bite, nonvenomous, of other, multiple, and unspecified sites, without mention of infection","insect bite, nonvenomous, of , multiple, and  sites, ",0.0019429890626492061,HP:0003781,Excessive salivation
0,2,C0264492,Chronic respiratory failure,chronic respiratory failure,0.0019053718750919842,HP:0002878,Respiratory failure
0,2,C0348799,Acute bronchiolitis due to respiratory syncytial virus,acute bronchiolitis due to respiratory syncytial virus,0.001903875181212313,HP:0002088,Abnormality of the lung
0,2,C0024649,Malposition of heart and cardiac apex,malposition of heart and cardiac apex,0.001892923211361444,HP:0001627,Abnormal heart morphology
0,2,C0154635,Other specified delays in development, specified delays in development,0.0018541179038577425,HP:0001263,Global developmental delay
0,2,C0700292,Hypoxemia,,0.001826374700793172,HP:0012418,Hypoxemia
0,2,C0392702,Abnormal involuntary movement,abnormal involuntary movement,0.00179968604735573,HP:0004305,Involuntary movements
0,2,C0155921,Tracheostomy complication,tracheostomy complication,0.0017846124179424496,HP:0002087,Abnormality of the upper respiratory tract
0,2,C0004144,Atelectasis,,0.0017843160561927494,HP:0100750,Atelectasis
0,2,C0035204,Respiration Disorders,respiration disorders,0.001780371513929317,HP:0002793,Abnormal pattern of respiration
0,2,C0456017,Chronic respiratory disease in perinatal period,chronic respiratory disease in perinatal period,0.0016708099108820981,,
0,2,C0013396,Dyspepsia and other specified disorders of function of stomach,dyspepsia and  specified disorders of function of stomach,0.0016485785735274414,HP:0002577,Abnormality of the stomach
0,2,C0154722,"Epilepsy, unspecified, with intractable epilepsy","epilepsy, , ",0.0016222972117395245,HP:0001250,Seizures
0,2,C0002871,Anemia,,0.0015979122272733871,HP:0001903,Anemia
0,2,C0030196,Pain in limb,,0.0015606462701789922,HP:0009763,Limb pain
0,2,C0154671,Degenerative brain disorder,,0.0015340964985821172,HP:0007313,Cerebral degeneration
0,2,C0021355,Infective otitis externa,infective otitis externa,0.0014863629132985889,HP:0000388,Otitis media
0,2,C0018798,Congenital Heart Defects,,0.0014776692209597926,HP:0001627,Abnormal heart morphology
0,2,C0042029,Urinary tract infection,urinary tract infection,0.0014721058642659577,HP:0000010,Recurrent urinary tract infections
0,2,C0003811,Cardiac Arrhythmia,,0.001447478018106139,HP:0011675,Arrhythmia
0,2,C0036690,Septicemia,,0.001424408306572668,HP:0100806,Sepsis
0,2,C0034372,Quadriplegia,,0.0014214713621272259,HP:0002445,Tetraplegia
0,2,C0009081,Congenital clubfoot,,0.0013915135962750491,HP:0001762,Talipes equinovarus
0,2,C0348626,Other specified cardiac arrhythmias, specified cardiac arrhythmias,0.0013803099046083582,HP:0011675,Arrhythmia
0,2,C0375627,"Closed dislocation of elbow, unspecified site","closed dislocation of elbow,  site",0.001363287466010479,HP:0003042,Elbow dislocation
