cui,cui_name,curated_name,prob,hpo,hpo_name
C0032781,Posterior rhinorrhea,posterior rhinorrhea,0.002085836986814349,HP:0000366,Abnormality of the nose
C0489952,"Intestinal infection due to other organism, NEC in ICD9CM","intestinal infection due to  organism,",0.006195399308641921,HP:0004798,Recurrent infection of the gastrointestinal tract
C0432378,Congenital malformations of other endocrine glands,congenital malformations of  endocrine glands,0.0010414205087994773,HP:0000818,Abnormality of the endocrine system
C0038450,Stridor,,0.010171489984876063,HP:0010307,Stridor
C1411876,Developmental arithmetic disorder,,0.01031434990633267,HP:0002442,Dyscalculia
C0040702,Transient Tic Disorder,transient tic disorder,0.0020440177539011385,HP:0100033,Tics
C0031192,Persistent Ostium Primum,persistent ostium primum,0.003445367315502374,HP:0010445,Primum atrial septal defect
C0745890,Reflex sympathetic dystrophy of lower extremity,reflex sympathetic dystrophy of lower extremity,0.0024004850749684507,,
C0678202,Regional enteritis,regional enteritis,0.005314989594918199,HP:0002242,Abnormality of the intestine
C0375319,Acute bronchiolitis due to other infectious organisms,acute bronchiolitis due to  infectious organisms,0.023941011868078114,,
C0030591,Paroxysmal ventricular tachycardia,,0.003673607426552394,HP:0004751,Paroxysmal ventricular tachycardia
C0029839,Other specified urticaria, specified urticaria,0.001157301832988878,HP:0001025,Urticaria
C0490052,Other psoriasis and similar disorders excluding psoriatic arthropathy, psoriasis and similar disorders excluding psoriatic arthropathy,0.006059952770188714,,
C0695252,Other malaise and fatigue, malaise and fatigue,0.0035538816903141228,,
C0240310,Hypoplasia of the maxilla,,0.0014505218674209434,HP:0000327,Hypoplasia of the maxilla
C0494574,"Hypertensive renal disease, unspecified, without mention of renal failure","hypertensive renal disease, , ",0.0025193785589852206,HP:0012622,Chronic kidney disease
C0029837,Other specified types of hydrocele, specified types of hydrocele,0.001607952153503389,HP:0000034,Hydrocele testis
C0405580,Adrenal cortical hypofunction,adrenal cortical hypofunction,0.002110921413479304,HP:0000834,Abnormality of the adrenal glands
C0011848,Diabetes Insipidus,,0.0022778450070344417,HP:0000873,Diabetes insipidus
C0375076,"Lymphosarcoma, unspecified site, extranodal and solid organ sites","lymphosarcoma,  site, extranodal and solid organ sites",0.00703868589649116,,
C0476228,"Localized superficial swelling, mass, or lump","localized superficial swelling, mass, or lump",0.002097003498479185,,
C0868868,"Anomalies of foot, not elsewhere classified","anomalies of foot, not elsewhere classified",0.00455560167747526,HP:0001760,Abnormality of the foot
C0158265,Degeneration of lumbar or lumbosacral intervertebral disc,degeneration of lumbar or lumbosacral intervertebral disc,0.0011992797255800164,HP:0008419,Intervertebral disc degeneration
C0392646,Herpes simplex without mention of complication,herpes simplex ,0.0013445388725342455,,
C0409273,"Unspecified joint derangement, ankle and foot"," joint derangement, ankle and foot",0.0020023089769055373,HP:0100491,Abnormality of lower limb joint
C0751362,Narcolepsy-Cataplexy Syndrome,narcolepsy-cataplexy syndrome,0.0012201149715009654,HP:0002524,Cataplexy
C0155545,Tympanic membrane conductive hearing loss,tympanic membrane conductive hearing loss,0.0026268066073096906,HP:0000405,Conductive hearing impairment
C0155544,External ear conductive hearing loss,external ear conductive hearing loss,0.0032028514897114203,HP:0000405,Conductive hearing impairment
C0155547,Inner ear conductive hearing loss,inner ear conductive hearing loss,0.0010005500058578006,HP:0000405,Conductive hearing impairment
C0155546,Middle ear conductive hearing loss,middle ear conductive hearing loss,0.0255987675969766,HP:0000405,Conductive hearing impairment
C0155541,Other otorrhea, otorrhea,0.0042655981861310565,HP:0000359,Abnormality of the inner ear
C0155540,Ear discharge,ear discharge,0.004150150975947572,HP:0000598,Abnormality of the ear
C0023895,Liver diseases,liver diseases,0.001451089021319756,HP:0001392,Abnormality of the liver
C0155548,Conductive hearing loss of combined types,conductive hearing loss of combined types,0.0016966646388417725,HP:0000405,Conductive hearing impairment
C2874892,"Bipolar disorder, current episode mixed, moderate","bipolar disorder,  mixed, moderate",0.0032401077802090266,HP:0007302,Bipolar affective disorder
C0027868,Neuromuscular Diseases,neuromuscular diseases,0.001727851716595929,HP:0003011,Abnormality of the musculature
C0036416,Scleritis,,0.0023509679636699145,HP:0100532,Scleritis
C0003872,"Arthritis, Psoriatic","arthritis, psoriatic",0.0019743081088707533,HP:0011123,Inflammatory abnormality of the skin
C0019555,"Hip Dislocation, Congenital",,0.0013099400859555347,HP:0001385,Hip dysplasia
C0030312,Pancytopenia,,0.0011712630417178226,HP:0001876,Pancytopenia
C0431725,Other specified anomalies of ureter, specified anomalies of ureter,0.002179073505231988,HP:0000069,Abnormality of the ureter
C0037785,Specific developmental disorder,specific developmental disorder,0.030001280085590856,HP:0000729,Autistic behavior
C0159132,Nonspecific abnormal toxicological findings,nonspecific abnormal toxicological findings,0.0014163378609306806,HP:0001939,Abnormality of metabolism/homeostasis
C0159135,Other abnormal clinical findings, abnormal clinical findings,0.006596431344394419,HP:0000707,Abnormality of the nervous system
C0155948,Other diseases and conditions of the teeth and supporting structures, diseases and conditions of the teeth and supporting structures,0.004565020199172244,HP:0006481,Abnormality of primary teeth
C0155120,"Corneal Dystrophy, Band-Shaped",,0.002137693513748061,HP:0007709,Band-shaped corneal dystrophy
C0154434,"Bipolar I disorder, most recent episode (or current) mixed, in partial or unspecified remission","bipolar disorder,  mixed, ",0.0017005451154365528,HP:0007302,Bipolar affective disorder
C0154432,"Bipolar I disorder, most recent episode (or current) mixed, severe, without mention of psychotic behavior","bipolar disorder,  mixed, severe, ",0.0011460332144240782,HP:0007302,Bipolar affective disorder
C0154433,"Bipolar I disorder, most recent episode (or current) mixed, severe, specified as with psychotic behavior","bipolar disorder,  mixed, severe, specified as ",0.0015838107212527962,HP:0007302,Bipolar affective disorder
C0155947,Dentofacial anomaly,dentofacial anomaly,0.0010004337352638277,HP:0000271,Abnormality of the face
C0375094,"Other malignant lymphomas, unspecified site, extranodal and solid organ sites"," malignant lymphomas,  site, extranodal and solid organ sites",0.009574800383978175,HP:0012539,Non-Hodgkin lymphoma
C0041857,unspecified nonpsychotic mental disorder, nonpsychotic mental disorder,0.006595647067971022,HP:0000708,Behavioral abnormality
C1306306,Contracture of hip joint,contracture of hip joint,0.00556108743669377,HP:0003273,Hip contracture
C0236827,Mixed receptive-expressive language disorder,language delay,0.049963946919666234,HP:0000750,Delayed speech and language development
C0153876,Acute lymphoid leukemia in remission,acute lymphoid leukemia in remission,0.0013549076228090231,HP:0005531,Biphenotypic acute leukaemia
C1456066,Allergic rhinitis due to animal (cat) (dog) hair and dander,allergic rhinitis due to animal (cat) (dog) hair and dander,0.01399545628612099,,
C0019158,Hepatitis,,0.0015751956633628338,HP:0012115,Hepatitis
C0024508,Major anomaly of jaw size,major anomaly of jaw size,0.0013406709582304624,,
C0079157,Reduction deformities of brain,reduction deformities of brain,0.01136506070016283,HP:0012443,Abnormality of brain morphology
C0008475,Chondromalacia Patellae,chondromalacia patellae,0.0024036114370306486,,
C0553604,Myotonic Disorders,myotonic disorders,0.0010285080882122143,,
C0024713,Manic Disorder,mania,0.0018822206803477675,HP:0100754,Mania
C0008297,Choanal Atresia,,0.0076047936084852105,HP:0000453,Choanal atresia
C0728936,Disorder of circulatory system,disorder of circulatory system,0.004677244329546067,HP:0011025,Abnormality of cardiovascular system physiology
C0156157,Other specified intestinal obstruction, specified intestinal obstruction,0.0012906681210288998,HP:0005214,Intestinal obstruction
C0156158,Intestinal or peritoneal adhesions with obstruction (postoperative) (postinfection),intestinal or peritoneal adhesions ,0.0010248253316070446,HP:0002242,Abnormality of the intestine
C0004352,Autistic Disorder,,0.04067409114721535,HP:0000717,Autism
C0157687,"Carbuncle and furuncle of leg, except foot","carbuncle and furuncle of leg, except foot",0.00199687770590775,,
C0158463,Other acquired deformities of limbs, acquired deformities of limbs,0.008656608471702928,HP:0002814,Abnormality of the lower limb
C0740179,Bone marrow replaced by transplant,bone marrow replaced by transplant,0.002828081653941776,,
C0021831,Intestinal Diseases,,0.0017302318539492935,HP:0002242,Abnormality of the intestine
C0021830,Intestinal disaccharidase deficiencies and disaccharide malabsorption,intestinal disaccharidase deficiencies and disaccharide malabsorption,0.001905833482882177,HP:0002242,Abnormality of the intestine
C0040259,Tinea Pedis,tinea pedis,0.004685590243930435,HP:0100847,Palmoplantar pustulosis
C2712941,Disorder of stomach function and feeding problems in newborn,disorder of stomach function and feeding problems in newborn,0.0062486377135215305,HP:0011968,Feeding difficulties
C0032310,"Pneumonia, Viral","pneumonia, viral",0.0010095126218789819,,
C0033774,Pruritus,,0.0012146215918563382,HP:0000989,Pruritus
C0033770,Prune Belly Syndrome,,0.0013268750029678702,HP:0004392,Prune belly
C0042109,Urticaria,,0.003091598958581619,HP:0001025,Urticaria
C1260466,Long-term (current) use of steroids,long-term (current) use of steroids,0.0010797873598438618,,
C0154634,Mixed development disorder,neurodevelopmental delay,0.05667773156650399,HP:0012758,Neurodevelopmental delay
C0080178,Spina Bifida,,0.0010935569984843678,HP:0002414,Spina bifida
C0003811,Cardiac Arrhythmia,,0.028271698555844722,HP:0011675,Arrhythmia
C0018991,Hemiplegia,,0.004245497098110945,HP:0002301,Hemiplegia
C0158795,Other and unspecified congenital anomalies, and  congenital anomalies,0.0010527689072155118,HP:0001627,Abnormal heart morphology
C0158794,Balanced autosomal translocation in normal individual,balanced autosomal translocation in normal individual,0.0011467596927104353,,
C0261974,Suicide and self-inflicted injury by other specified means,suicide and self-inflicted injury by  specified means,0.006268111115240188,,
C0495615,Congenital abnormality of skull and face bones,congenital abnormality of skull and face bones,0.045540434504289205,HP:0000929,Abnormality of the skull
C0395986,Other chronic sinusitis, chronic sinusitis,0.0020545437738411945,HP:0011109,Chronic sinusitis
C0032227,Pleural effusion disorder,,0.006774399167805035,HP:0002202,Pleural effusion
C0014761,"Erythroblastosis, Fetal","erythroblastosis, fetal",0.0010957051308974398,HP:0001197,Abnormality of prenatal development or birth
C0003962,Ascites,,0.0010519686812234794,HP:0001541,Ascites
C0002170,Alopecia,,0.0014916651549432367,HP:0001596,Alopecia
C0013238,Dry Eye Syndromes,dry eye syndromes,0.002137693513748061,HP:0001097,Keratoconjunctivitis sicca
C0029534,Other cerebellar ataxia, cerebellar ataxia,0.0015548275646020784,HP:0001251,Ataxia
C0949141,Intraventricular hemorrhage unspecified grade,intraventricular hemorrhage  grade,0.0019206143333733243,HP:0011695,Cerebellar hemorrhage
C0949143,"Intraventricular hemorrhage, grade II","intraventricular hemorrhage, grade ii",0.001431384839448682,,
C2712365,Unspecified voice and resonance disorder, voice and resonance disorder,0.0010358821456025724,,
C2712366,Other voice and resonance disorders, voice and resonance disorders,0.0039268892997735075,,
C0302397,"Other hamartoses, not elsewhere classified"," hamartoses, not elsewhere classified",0.008067681468521345,,
C0235238,Cycloplegia,cycloplegia,0.002380315769540983,HP:0000553,Abnormality of the uvea
C0158644,Congenital anomaly of lung,congenital anomaly of lung,0.001790556997726707,HP:0002088,Abnormality of the lung
C0158646,Cleft palate with cleft lip,cleft palate ,0.011534555048203133,HP:0000175,Cleft palate
C0009451,Communicating Hydrocephalus,,0.0031982155837360564,HP:0001334,Communicating hydrocephalus
C0158648,Unilateral incomplete cleft palate,unilateral incomplete cleft palate,0.004250185832683164,HP:0100334,Unilateral cleft palate
C0154154,"Thyrotoxicosis without mention of goiter or other cause, and without mention of thyrotoxic crisis or storm",thyrotoxicosis ,0.0019363652449199149,HP:0000836,Hyperthyroidism
C0029443,Osteomyelitis,,0.0022064023412096544,HP:0002754,Osteomyelitis
C0151699,Intracranial Hemorrhages,,0.0019008399191706008,HP:0002170,Intracranial hemorrhage
C0869256,Mixed urinary incontinence,mixed urinary incontinence,0.010497465736671797,HP:0000020,Urinary incontinence
C0494362,Other specified metabolic disorders, specified metabolic disorders,0.003547828675509711,,
C0695242,Neurogenic Bowel,neurogenic bowel,0.001097011490727759,HP:0002242,Abnormality of the intestine
C0695241,Other complications of gastrostomy, complications of gastrostomy,0.0024705632228767447,HP:0012718,Morphological abnormality of the gastrointestinal tract
C0695240,Mechanical complication of gastrostomy,mechanical complication of gastrostomy,0.0015017492354889726,,
C0029844,Other specified visual disturbances, specified visual disturbances,0.0020143468655271822,,
C0220704,Shprintzen syndrome,shprintzen syndrome,0.0023951352101068326,,
C0029841,Other specified viral exanthemata, specified viral exanthemata,0.00105020723675172,HP:0000988,Skin rash
C0029842,Other specified viral infection, specified viral infection,0.0014768859344344795,HP:0002719,Recurrent infections
C0007645,Cellulitis and abscess NOS (disorder),cellulitis and abscess nos (disorder),0.009704963407447087,,
C0006267,Bronchiectasis,,0.0023500750377105023,HP:0002110,Bronchiectasis
C0155332,Alternating exotropia with V pattern,alternating exotropia ,0.004239915490525032,HP:0001137,Alternating esotropia
C0155471,Atrophic nonflaccid tympanic membrane,atrophic nonflaccid tympanic membrane,0.002350232029500745,,
C0431467,Other anomalies of external ear with impairment of hearing, anomalies of external ear ,0.001538641499618988,HP:0000356,Abnormality of the outer ear
C0039685,Tetralogy of Fallot,,0.046704076549709636,HP:0001636,Tetralogy of Fallot
C0158255,Displacement of lumbar intervertebral disc without myelopathy,displacement of lumbar intervertebral disc ,0.0011992797255800164,HP:0000925,Abnormality of the vertebral column
C0020575,Hypertropia,hypertropia,0.003733143268110641,HP:0000486,Strabismus
C0029668,Other mucopurulent conjunctivitis, mucopurulent conjunctivitis,0.0019268353741687813,HP:0003781,Excessive salivation
C0029669,Other musculoskeletal symptoms referable to limbs, musculoskeletal symptoms referable to limbs,0.001237594089416364,HP:0012638,Abnormality of nervous system physiology
C0271468,Eustachian tube disorder,eustachian tube disorder,0.0819248340392954,HP:0040115,Abnormality of the Eustachian tube
C0027092,Myopia,,0.011880950693719184,HP:0000545,Myopia
C0302378,"Chronic airway obstruction, NEC in ICD9CM_2014","chronic airway obstruction,",0.0032347508862999503,,
C0302379,"Other pulmonary insufficiency, NEC in ICD9CM"," pulmonary insufficiency,",0.006073653541014048,HP:0010444,Pulmonary insufficiency
C0302371,"Other and unspecified special symptoms or syndromes, NEC in ICD9CM_2014"," and  special symptoms or syndromes,",0.031055137279126777,HP:0000708,Behavioral abnormality
C0023976,Long QT Syndrome,long qt syndrome,0.0026872686536835565,HP:0001657,Prolonged QT interval
C0452138,"Sensorineural hearing loss, bilateral",,0.0034115527593974863,HP:0008619,Bilateral sensorineural hearing impairment
C0154338,Other persistent mental disorders due to conditions classified elsewhere, persistent mental disorders due to conditions classified elsewhere,0.0012378148551224104,,
C0158328,Trigger Finger Disorder,trigger finger disorder,0.0016265963236880105,,
C0270805,Hemiplegic cerebral palsy,hemiplegic cerebral palsy,0.01722173870062714,HP:0100021,Cerebral palsy
C0341089,Other functional disorders of intestine, functional disorders of intestine,0.00558973641314298,HP:0002242,Abnormality of the intestine
C0155840,Hypertrophy of nasal turbinates,hypertrophy of nasal turbinates,0.001358099859956029,HP:0000366,Abnormality of the nose
C0155847,Unilateral partial vocal cord paralysis,unilateral  vocal cord paralysis,0.0023120498111541426,HP:0008757,Unilateral vocal cord paralysis
C0155849,Bilateral partial vocal cord paralysis,bilateral  vocal cord paralysis,0.0010369321926885465,HP:0012820,Bilateral vocal cord paralysis
C0339711,Legal blindness USA,legal blindness usa,0.0036384182891174076,,
C0155118,Corneal degeneration,,0.0011967060627101499,HP:0007705,Corneal degeneration
C0154421,"Bipolar I disorder, most recent episode (or current) manic, in partial or unspecified remission","bipolar disorder,  ",0.005924342949938072,HP:0007302,Bipolar affective disorder
C0154420,"Bipolar I disorder, most recent episode (or current) manic, severe, specified as with psychotic behavior","bipolar disorder,  severe, specified as ",0.004745934461141735,HP:0007302,Bipolar affective disorder
C0155938,"Dentofacial anomalies, including malocclusion","dentofacial anomalies, including malocclusion",0.0010607566776414169,,
C0155939,Dental arch relationship anomaly,dental arch relationship anomaly,0.0017452985444536533,,
C0154426,"Bipolar I disorder, most recent episode (or current) depressed, severe, without mention of psychotic behavior","bipolar disorder,  severe, ",0.0044903670034504095,HP:0007302,Bipolar affective disorder
C0155934,Acute apical periodontitis of pulpal origin,acute apical periodontitis of pulpal origin,0.001281256972110297,,
C0154428,"Bipolar I disorder, most recent episode (or current) depressed, in partial or unspecified remission","bipolar disorder,  ",0.002260754975045758,HP:0007302,Bipolar affective disorder
C0155680,Other and unspecified acute pericarditis, and  acute pericarditis,0.0010183309463082989,HP:0001701,Pericarditis
C0155930,Tooth Ankylosis,tooth ankylosis,0.0014988833366807461,,
C0158698,Congenital malformation of the urinary system,congenital malformation of the urinary system,0.0030893575432734983,HP:0000079,Abnormality of the urinary system
C0004610,Bacteremia,bacteremia,0.001956556955521752,HP:0010978,Abnormality of immune system physiology
C0158699,Renal agenesis and dysgenesis,renal agenesis and dysgenesis,0.007638203426281685,,
C0036689,Streptococcal sore throat,streptococcal sore throat,0.005699071526131785,,
C0154825,Retinal round hole without detachment,retinal round hole ,0.001381204555596166,,
C0375377,"Vesicoureteral reflux with reflux nephropathy, unilateral",vesicoureteral reflux ,0.0025254895884644487,HP:0000076,Vesicoureteral reflux
C0162678,Neurofibromatoses,,0.005405713666260401,HP:0001067,Neurofibromas
C0221540,Other alteration of consciousness, alteration of consciousness,0.004241002535788907,HP:0004372,Reduced consciousness/confusion
C0155066,"Unqualified visual loss, one eye","unqualified visual loss, one eye",0.002407592910950118,,
C0004106,Astigmatism,,0.00818120929415827,HP:0000483,Astigmatism
C0159906,"Fracture of one or more phalanges of foot, closed","fracture of one or more phalanges of foot, closed",0.001572194918603623,,
C0490053,"Reduction deformities of upper limb, congenital, longitudinal deficiency, phalanges, complete or partial","reduction deformities of upper limb, congenital, longitudinal deficiency, phalanges, complete or ",0.0014280871324443148,,
C0042029,Urinary tract infection,urinary tract infection,0.01474720029125667,HP:0000010,Recurrent urinary tract infections
C0042024,Urinary Incontinence,,0.026623416739472293,HP:0000020,Urinary incontinence
C1456298,Mood disorder in conditions classified elsewhere,depression in conditions classified elsewhere,0.0017645100268120373,HP:0000708,Behavioral abnormality
C1456299,Anxiety disorder in conditions classified elsewhere,anxiety disorder in conditions classified elsewhere,0.001026225630425378,,
C0042023,Increased frequency of micturition,,0.00883588577444549,HP:0100515,Pollakisuria
C0005741,Blepharitis,,0.00434432894886721,HP:0000498,Blepharitis
C0005745,Blepharoptosis,,0.002363802802341186,HP:0000508,Ptosis
C0021447,"Inguinal hernia, without mention of obstruction or gangrene","inguinal hernia, ",0.0013013204506969647,HP:0000023,Inguinal hernia
C0005411,Biliary Atresia,,0.0010425225547773514,HP:0005242,Extrahepatic biliary duct atresia
C0157696,Cellulitis and abscess of face,cellulitis and abscess of face,0.0018191329254644251,HP:0010771,Pilonidal abscess
C0157694,Onychia and paronychia of toe,onychia and paronychia of toe,0.0032104887482436685,HP:0001597,Abnormality of the nail
C0157691,Cellulitis and abscess of finger,cellulitis and abscess of finger,0.0016287892209369368,,
C0153517,Malignant neoplasm of long bones of lower limb,malignant neoplasm of long bones of lower limb,0.005597017372727106,HP:0011793,Neoplasm by anatomical site
C1456270,Fatty acid oxidation disorder,fatty acid oxidation disorder,0.0022632512912320593,HP:0004359,Abnormality of fatty-acid metabolism
C1456275,disorder of mitochondrial metabolism,disorder of mitochondrial metabolism,0.00593168377846582,HP:0003287,Abnormality of mitochondrial metabolism
C0157699,Cellulitis and abscess of upper arm and forearm,cellulitis and abscess of upper arm and forearm,0.002703720550466208,,
C0157698,Cellulitis and abscess of trunk,cellulitis and abscess of trunk,0.0018153903005923536,HP:0010771,Pilonidal abscess
C0021843,Intestinal Obstruction,,0.0013311452022467926,HP:0005214,Intestinal obstruction
C2607914,Allergic rhinitis (disorder),,0.015801058995281107,HP:0003193,Allergic rhinitis
C0014089,Functional encopresis,functional encopresis,0.01692547986848457,HP:0040183,Encopresis
C0018051,Gonadal Dysgenesis,,0.0026635579846063014,HP:0000133,Gonadal dysgenesis
C0156345,Endometriosis of pelvic peritoneum,endometriosis of pelvic peritoneum,0.001007752823751164,,
C0022548,Keloid,,0.0016247404390593992,HP:0010562,Keloids
C1260873,Aortic valve disorder,aortic valve disorder,0.0037949787966676737,,
C1258666,Myxoid cyst,myxoid cyst,0.0015835706440494163,HP:0011792,Neoplasm by histology
C0264492,Chronic respiratory failure,chronic respiratory failure,0.0019321734660033764,HP:0002878,Respiratory failure
C0264490,Acute respiratory failure,acute respiratory failure,0.0020239158940303014,HP:0002093,Respiratory insufficiency
C0008686,Chronic glomerulonephritis with lesion of membranous glomerulonephritis,chronic glomerulonephritis ,0.006141643444171536,HP:0000099,Glomerulonephritis
C0027703,"Nephritis and nephropathy, not specified as acute or chronic, with unspecified pathological lesion in kidney","nephritis and nephropathy, not specified as acute or chronic, ",0.001566803983336501,,
C0027702,Nephritis NEC in ICD9CM_2014,nephritis,0.0015151548594257614,HP:0000123,Nephritis
C0026654,Moyamoya Disease,moyamoya disease,0.003553941010275167,HP:0011834,Moyamoya phenomenon
C0033893,Tension Headache,,0.002597101464951392,HP:0012228,Tension-type headache
C0013221,Drug toxicity,drug toxicity,0.0016005056458834601,HP:0000708,Behavioral abnormality
C0700625,"Allergy, unspecified, NEC in ICD9CM","allergy, ,",0.01757508914948613,HP:0012393,Allergy
C0028850,Ocular Motility Disorders,ocular motility disorders,0.0026254479103179373,HP:0000496,Abnormality of eye movement
C0029523,Other B-complex deficiencies, b-complex deficiencies,0.0031846505345510846,,
C0029520,Other anomalies of great veins, anomalies of great veins,0.013957335142836896,HP:0002597,Abnormality of the vasculature
C0017181,Gastrointestinal Hemorrhage,,0.0023989984799120006,HP:0002239,Gastrointestinal hemorrhage
C1456323,Personality change due to conditions classified elsewhere,personality change due to conditions classified elsewhere,0.0010589226827028555,,
C0006277,Bronchitis,,0.0014556393790826226,HP:0012387,Bronchitis
C1955545,infection due to central venous catheter,infection due to central venous catheter,0.0022571619448180725,,
C0158632,Anomalies of great veins,anomalies of great veins,0.0025901469668799275,HP:0002597,Abnormality of the vasculature
C0158638,Congenital anomaly of cerebrovascular system,congenital anomaly of cerebrovascular system,0.003209400417302742,,
C0029456,Osteoporosis,,0.009175876935261095,HP:0000939,Osteoporosis
C0020565,Hypertrophy of Breast,,0.019738297504615594,HP:0010313,Breast hypertrophy
C0160908,Superficial injury of conjunctiva,superficial injury of conjunctiva,0.0012021605024863445,HP:0000228,Oral cavity telangiectasia
C0030805,Bullous pemphigoid,bullous pemphigoid,0.0015250427630723994,,
C0375336,Iatrogenic pneumothorax,iatrogenic pneumothorax,0.0016482206830440035,,
C2349432,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus",migraine ,0.0035879586469954746,HP:0002076,Migraine
C0009733,"Tracheoesophageal fistula, esophageal atresia and stenosis","tracheoesophageal fistula, esophageal atresia and stenosis",0.00278836066356113,HP:0002575,Tracheoesophageal fistula
C0029858,Other testicular hypofunction, testicular hypofunction,0.002735081816535053,HP:0000035,Abnormality of the testis
C2349438,"Migraine without aura, without mention of intractable migraine without mention of status migrainosus",migraine ,0.0071272586562045655,HP:0002076,Migraine
C2349439,"Migraine without aura, with intractable migraine, so stated, without mention of status migrainosus",migraine ,0.0010132050702479688,HP:0002076,Migraine
C0029855,Other symptoms involving head and neck, symptoms involving head and neck,0.00397659818079327,HP:0000464,Abnormality of the neck
C0009081,Congenital clubfoot,,0.010153571471534223,HP:0001762,Talipes equinovarus
C0261686,Inhalation and ingestion of other object causing obstruction of respiratory tract or suffocation,inhalation and ingestion of  object causing obstruction of respiratory tract or suffocation,0.0011458689938048457,,
C0153661,Malignant neoplasm of thorax,malignant neoplasm of thorax,0.002806958111976258,HP:0002664,Neoplasm
C0006705,Calcium Metabolism Disorders,calcium metabolism disorders,0.0023615541639289334,,
C0009952,Febrile Convulsions,,0.009747541419921124,HP:0002373,Febrile seizures
C0260774,Care involving orthoptic training,care involving orthoptic training,0.002033867054160513,,
C0155325,Alternating esotropia with A pattern,alternating esotropia ,0.0018444186317821097,HP:0001137,Alternating esotropia
C0155326,Alternating esotropia with V pattern,alternating esotropia ,0.001839518897678736,HP:0001137,Alternating esotropia
C0476206,Dizziness and giddiness symptoms,dizziness and giddiness symptoms,0.00454691018860149,HP:0002321,Vertigo
C0155320,"Blindness, Cortical","blindness, cortical",0.005456777603913309,HP:0100704,Cortical visual impairment
C0917981,Progressive Muscular Atrophy,progressive muscular atrophy,0.0012153157602736984,,
C0003044,Animal bite,animal bite,0.001038709526968244,,
C0027066,Myoclonus,,0.001043773536622757,HP:0001336,Myoclonus
C1561639,"Chronic kidney disease, stage 2 (mild)","chronic kidney disease, stage 2 (mild)",0.0010725276574985172,,
C1561638,"Chronic kidney disease, Stage I","chronic kidney disease, stage i",0.0026376908927845098,HP:0012622,Chronic kidney disease
C0149931,Migraine Disorders,,0.0019371228778992022,HP:0002076,Migraine
C0749794,"Upper Extremity Deformities, Congenital","upper extremity deformities, congenital",0.0021723223555178447,,
C0158335,Ganglion of tendon sheath,ganglion of tendon sheath,0.0016890567495022326,HP:0000759,Abnormal peripheral nervous system morphology
C0085655,Polymyositis,polymyositis,0.0011480221857488309,HP:0100614,Myositis
