cui,cui_name,curated_name,hpo,hpo_name,hpo_prob
C0161317,"Blisters, epidermal loss [second degree] of multiple specified sites","blisters, epidermal loss [second degree] of multiple specified sites",HP:0008066,Abnormal blistering of the skin,0.8131462931632996
C1260466,Long-term (current) use of steroids,long-term (current) use of steroids,,,1.0
C0003811,Cardiac Arrhythmia,,HP:0011675,Arrhythmia,1.0
C0017086,Gangrene,,HP:0100758,Gangrene,1.0
C0261972,Suicide and self-inflicted injury by hanging,suicide and self-inflicted injury by hanging,,,1.0
C0261974,Suicide and self-inflicted injury by other specified means,suicide and self-inflicted injury by  specified means,,,1.0
C0154229,Arrested development following protein-calorie malnutrition,arrested development following protein-calorie malnutrition,,,1.0
C0014761,"Erythroblastosis, Fetal","erythroblastosis, fetal",HP:0001197,Abnormality of prenatal development or birth,0.9848632216453552
C0042818,Visual discomfort,visual discomfort,,,1.0
C0013238,Dry Eye Syndromes,dry eye syndromes,HP:0001097,Keratoconjunctivitis sicca,0.9149409532546997
C2712365,Unspecified voice and resonance disorder, voice and resonance disorder,,,1.0
C2712366,Other voice and resonance disorders, voice and resonance disorders,,,1.0
C0154154,"Thyrotoxicosis without mention of goiter or other cause, and without mention of thyrotoxic crisis or storm",thyrotoxicosis ,HP:0000836,Hyperthyroidism,0.9850871562957764
C0154157,Postoperative hypothyroidism,postoperative hypothyroidism,,,1.0
C0270246,Meconium plug syndrome,meconium plug syndrome,HP:0004401,Meconium ileus,0.9299191236495972
C0154152,Thyrotoxicosis of other specified origin without mention of thyrotoxic crisis or storm,thyrotoxicosis of  specified origin ,,,1.0
C0270249,Hematemesis AND/OR melena due to swallowed maternal blood,hematemesis and/or melena due to swallowed maternal blood,HP:0002573,Hematochezia,0.6145513653755188
C0154158,Other postablative hypothyroidism, postablative hypothyroidism,,,1.0
C0494362,Other specified metabolic disorders, specified metabolic disorders,,,1.0
C0695243,Mechanical complication of colostomy and enterostomy,mechanical complication of colostomy and enterostomy,HP:0002242,Abnormality of the intestine,0.7970849275588989
C0695242,Neurogenic Bowel,neurogenic bowel,HP:0002242,Abnormality of the intestine,0.9097837209701538
C0695241,Other complications of gastrostomy, complications of gastrostomy,HP:0012718,Morphological abnormality of the gastrointestinal tract,0.7136555910110474
C0695240,Mechanical complication of gastrostomy,mechanical complication of gastrostomy,,,1.0
C0006267,Bronchiectasis,,HP:0002110,Bronchiectasis,1.0
C0431467,Other anomalies of external ear with impairment of hearing, anomalies of external ear ,HP:0000356,Abnormality of the outer ear,0.9965695142745972
C0431468,"Middle ear anomaly, excluding ossicles","middle ear anomaly, excluding ossicles",HP:0004452,Abnormality of the middle ear ossicles,0.9483716487884521
C0393774,Sleep-Related Bruxism,sleep-related bruxism,HP:0003763,Bruxism,0.8367934226989746
C0302379,"Other pulmonary insufficiency, NEC in ICD9CM"," pulmonary insufficiency,",HP:0010444,Pulmonary insufficiency,0.9968063831329346
C0302370,"Special symptoms or syndromes, NEC in ICD9CM_2014","special symptoms or syndromes,",HP:0000708,Behavioral abnormality,0.6661543846130371
C0302371,"Other and unspecified special symptoms or syndromes, NEC in ICD9CM_2014"," and  special symptoms or syndromes,",HP:0000708,Behavioral abnormality,0.6453913450241089
C0302373,"Other specified disturbances of conduct, NEC in ICD9CM_2014"," specified disturbances of conduct,",HP:0000708,Behavioral abnormality,0.9841576218605042
C0085648,Synovial Cyst,synovial cyst,,,1.0
C0155206,Sensory disorder of eyelid,sensory disorder of eyelid,HP:0000643,Blepharospasm,0.7989817261695862
C0155207,Other sensorimotor disorders of eyelid, sensorimotor disorders of eyelid,HP:0000643,Blepharospasm,0.8818349838256836
C0155204,Lid retraction or lag,lid retraction or lag,,,1.0
C0155202,Mechanical ptosis,mechanical ptosis,,,1.0
C0158323,Other enthesopathy of ankle and tarsus, enthesopathy of ankle and tarsus,HP:0100492,Joint contractures involving the joints of the feet,0.6878640055656433
C0158321,Tibialis tendinitis,tibialis tendinitis,HP:0001771,Achilles tendon contracture,0.603653073310852
C0158328,Trigger Finger Disorder,trigger finger disorder,,,1.0
C0341089,Other functional disorders of intestine, functional disorders of intestine,HP:0002242,Abnormality of the intestine,0.7723912000656128
C0497134,excessive crying of infant,excessive crying of infant,HP:0001197,Abnormality of prenatal development or birth,0.560259222984314
C0158377,Acute osteomyelitis involving lower leg,acute osteomyelitis involving lower leg,,,1.0
C0000737,Abdominal Pain,,HP:0002027,Abdominal pain,1.0
C0267756,Abscess of peritoneum,,HP:0100592,Peritoneal abscess,1.0
C1314803,Disorder of eye and adnexa NOS,disorder of eye and adnexa nos,,,1.0
C0161418,C1-C4 level with anterior cord syndrome,c1-c4 level ,,,1.0
C0221540,Other alteration of consciousness, alteration of consciousness,HP:0004372,Reduced consciousness/confusion,0.5729044079780579
C0036202,Sarcoidosis,sarcoidosis,,,1.0
C1719330,Other decreased white blood cell count, decreased white blood cell count,HP:0011893,Abnormal leukocyte count,0.7291883826255798
C0042029,Urinary tract infection,urinary tract infection,HP:0000010,Recurrent urinary tract infections,0.9999920129776001
C0042024,Urinary Incontinence,,HP:0000020,Urinary incontinence,1.0
C0152260,Soemmerring's ring,soemmerring's ring,,,1.0
C0042023,Increased frequency of micturition,,HP:0100515,Pollakisuria,1.0
C0152262,Cystitis cystica,cystitis cystica,HP:0100577,Urinary bladder inflammation,0.8234618306159973
C0005741,Blepharitis,,HP:0000498,Blepharitis,1.0
C0400985,Gallbladder calculus with acute cholecystitis and no obstruction,gallbladder calculus ,,,1.0
C0005745,Blepharoptosis,,HP:0000508,Ptosis,1.0
C0005744,Blepharophimosis,,HP:0000581,Blepharophimosis,1.0
C0005747,Blepharospasm,,HP:0000643,Blepharospasm,1.0
C0021447,"Inguinal hernia, without mention of obstruction or gangrene","inguinal hernia, ",HP:0000023,Inguinal hernia,0.9971978664398193
C0348597,Other forms of acute pericarditis, forms of acute pericarditis,HP:0001701,Pericarditis,0.7782195210456848
C0160239,"Subdural hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness",subdural hemorrhage following injury ,HP:0100309,Subdural hemorrhage,0.9864845871925354
C0160238,"Subdural hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness",subdural hemorrhage following injury ,HP:0100309,Subdural hemorrhage,0.9864845871925354
C0008049,Chickenpox,chickenpox,HP:0005360,Susceptibility to chickenpox,0.7929137349128723
C0043194,Wiskott-Aldrich Syndrome,wiskott-aldrich syndrome,HP:0011354,Generalized abnormality of skin,0.6684021949768066
C1260873,Aortic valve disorder,aortic valve disorder,,,1.0
C1140680,Malignant neoplasm of ovary,malignant neoplasm of ovary,HP:0100615,Ovarian neoplasm,0.9899651408195496
C0700625,"Allergy, unspecified, NEC in ICD9CM","allergy, ,",HP:0012393,Allergy,0.9970435500144958
C1135250,Other respiratory problems after birth, respiratory problems after birth,HP:0002093,Respiratory insufficiency,0.56284499168396
C0029528,Other bursitis, bursitis,HP:0001367,Abnormal joint morphology,0.9106823205947876
C0157239,"Primary uterine inertia, unspecified as to episode of care or not applicable","primary uterine inertia,  as to episode of care or ",,,1.0
C0029525,Other cyst of bone, cyst of bone,HP:0012062,Bone cyst,0.9946170449256897
C0029523,Other B-complex deficiencies, b-complex deficiencies,,,1.0
C0029520,Other anomalies of great veins, anomalies of great veins,HP:0002597,Abnormality of the vasculature,0.7904388308525085
C0302414,"Central nervous system complications, NEC in ICD9CM_2014","central nervous system complications,",HP:0000707,Abnormality of the nervous system,0.5926024913787842
C0238124,Necrotizing fasciitis,necrotizing fasciitis,HP:0100537,Fasciitis,0.8686240911483765
C0338810,Subchronic latent schizophrenia,subchronic latent schizophrenia,HP:0012638,Abnormality of nervous system physiology,0.5651078224182129
C0085437,"Meningitis, Bacterial","meningitis, bacterial",HP:0007274,Recurrent bacterial meningitis,0.5375989675521851
C0160905,"Other and unspecified superficial injury of foot and toes, infected"," and  superficial injury of foot and toes, infected",HP:0001760,Abnormality of the foot,0.5102293491363525
C0160904,"Other and unspecified superficial injury of foot and toes, without mention of infection"," and  superficial injury of foot and toes, ",HP:0001760,Abnormality of the foot,0.7262413501739502
C0160907,Superficial injury of eyelid AND/OR periocular area,superficial injury of eyelid and/or periocular area,,,1.0
C0431479,Other specified anomalies of ear, specified anomalies of ear,HP:0000356,Abnormality of the outer ear,0.9529892802238464
C0160909,Other and unspecified superficial injuries of eye, and  superficial injuries of eye,,,1.0
C0160908,Superficial injury of conjunctiva,superficial injury of conjunctiva,HP:0000228,Oral cavity telangiectasia,0.6817950010299683
C0030805,Bullous pemphigoid,bullous pemphigoid,,,1.0
C0375336,Iatrogenic pneumothorax,iatrogenic pneumothorax,,,1.0
C0375334,chronic obstructive asthma with status asthmaticus,chronic obstructive asthma ,HP:0002099,Asthma,0.669843316078186
C0375333,"Chronic obstructive asthma, unspecified","chronic obstructive asthma, ",HP:0002099,Asthma,0.6671386361122131
C0236802,Gender identity disorder of childhood,gender identity disorder of ,,,1.0
C0236800,Panic disorder with agoraphobia,panic disorder ,HP:0000708,Behavioral abnormality,0.8709308505058289
C0869289,"Interpersonal problems, not elsewhere classified","interpersonal problems, not elsewhere classified",,,1.0
C0009952,Febrile Convulsions,,HP:0002373,Febrile seizures,1.0
C0260774,Care involving orthoptic training,care involving orthoptic training,,,1.0
C0375259,Mitral and aortic valve disease,mitral and aortic valve disease,,,1.0
C0020541,"Hypertension, Portal",,HP:0001409,Portal hypertension,1.0
C0375257,Abnormal auditory perception,abnormal auditory perception,HP:0000598,Abnormality of the ear,0.6091888546943665
C0006384,Bundle-Branch Block,,HP:0011710,Bundle branch block,1.0
C1561638,"Chronic kidney disease, Stage I","chronic kidney disease, stage i",HP:0012622,Chronic kidney disease,0.6342408061027527
C0006386,Bunion,bunion,HP:0001844,Abnormality of the hallux,0.942399799823761
C0155177,Eczematous dermatitis of eyelid,eczematous dermatitis of eyelid,HP:0011127,Perioral eczema,0.7289608120918274
C0348860,Hypertensive renal disease with renal failure,hypertensive renal disease ,HP:0012622,Chronic kidney disease,0.8382166028022766
C0740179,Bone marrow replaced by transplant,bone marrow replaced by transplant,,,1.0
C0158115,Contracture of lower leg joint,contracture of lower leg joint,HP:0005750,Contractures of the joints of the lower limbs,0.761882483959198
C0010314,Cri-du-Chat Syndrome,cri-du-chat syndrome,,,1.0
C1442903,Exostoses,,HP:0100777,Exostoses,1.0
C0155699,Cardiomyopathy in other diseases classified elsewhere,cardiomyopathy in  diseases classified elsewhere,,,1.0
C0155926,Disorder of hard tissues of teeth,disorder of hard tissues of teeth,HP:3000050,Abnormality of odontoid tissue,0.6991356611251831
C0155924,Other specified disorders of tooth development and eruption, specified disorders of tooth development and eruption,,,1.0
C0155922,Tooth development and eruption disorder,tooth development and eruption disorder,,,1.0
C0155921,Tracheostomy complication,tracheostomy complication,HP:0002087,Abnormality of the upper respiratory tract,0.659712016582489
C0004604,Back Pain,,HP:0003418,Back pain,1.0
C0004608,Retinopathy background,retinopathy background,HP:0000488,Retinopathy,0.5281021595001221
C0038002,Splenomegaly,,HP:0001744,Splenomegaly,1.0
C0156005,"Chronic or unspecified duodenal ulcer with hemorrhage, without mention of obstruction",chronic or  duodenal ulcer ,HP:0002242,Abnormality of the intestine,0.5077617168426514
C0008924,Cleft Lip,,HP:0000204,Cleft upper lip,1.0
C0008925,Cleft Palate,,HP:0000175,Cleft palate,1.0
C0549470,Preglaucoma,preglaucoma,HP:0000501,Glaucoma,0.9698209762573242
C0156008,"Chronic or unspecified duodenal ulcer with perforation, without mention of obstruction",chronic or  duodenal ulcer ,HP:0002242,Abnormality of the intestine,0.5077617168426514
C0155073,Superficial keratitis without conjunctivitis,superficial keratitis ,HP:0000491,Keratitis,0.8855050206184387
C0155074,Superficial keratitis,superficial keratitis,HP:0000491,Keratitis,0.8855050206184387
C0155078,Photokeratitis,photokeratitis,HP:0004328,Abnormality of the anterior segment of the globe,0.9029648900032043
C0276162,Adenoviral enteritis,adenoviral enteritis,,,1.0
C0159973,"Other tear of cartilage or meniscus of knee, current"," tear of cartilage or meniscus of knee, current",,,1.0
C0554123,Unilateral inguinal hernia with obstruction but no gangrene,unilateral inguinal hernia ,HP:0000023,Inguinal hernia,0.7194300889968872
C0347071,Malignant neoplasm of other and unspecified sites,malignant neoplasm of  and  sites,HP:0011793,Neoplasm by anatomical site,0.7111254334449768
C0036690,Septicemia,,HP:0100806,Sepsis,1.0
C0398661,Chronic congestive splenomegaly,chronic congestive splenomegaly,,,1.0
C1456263,Unspecified viral hepatitis C without hepatic coma, viral hepatitis c ,HP:0006562,Viral hepatitis,0.8476178646087646
C1456262,Acute hepatitis C without mention of hepatic coma,acute hepatitis c ,HP:0200119,Acute hepatitis,0.9743376970291138
C0001163,Vestibulocochlear Nerve Diseases,vestibulocochlear nerve diseases,HP:0009591,Abnormality of the vestibulocochlear nerve,0.6718745231628418
C0001169,Acquired coagulation factor deficiency,acquired coagulation factor deficiency,HP:0001928,Abnormality of coagulation,0.9879449605941772
C1260404,primary hypercoagulable state,primary hypercoagulable state,HP:0100724,Hypercoagulability,0.6277449131011963
C1260408,Encephalopathy NEC in ICD10CM,encephalopathy,HP:0001298,Encephalopathy,0.9869289398193359
C1260409,myasthenia gravis without acute exacerbation,myasthenia gravis ,HP:0003473,Fatigable weakness,0.9987254738807678
C0263840,Haemarthrosis involving lower leg,haemarthrosis involving lower leg,,,1.0
C0155233,Epiphora due to excess lacrimation,epiphora due to excess lacrimation,,,1.0
C0155544,External ear conductive hearing loss,external ear conductive hearing loss,HP:0000405,Conductive hearing impairment,0.9855287671089172
C0079957,Other specified bullous dermatoses, specified bullous dermatoses,,,1.0
C0936215,Vitamin B 6 Deficiency,,HP:0008326,Vitamin B6 deficiency,1.0
C0155541,Other otorrhea, otorrhea,HP:0000359,Abnormality of the inner ear,0.9458962678909302
C2937358,Cerebral Hemorrhage,,HP:0001342,Cerebral hemorrhage,1.0
C0155234,Epiphora due to insufficient drainage,epiphora due to insufficient drainage,,,1.0
C0752304,Hypoxic-Ischemic Encephalopathy,hypoxic-ischemic encephalopathy,HP:0012638,Abnormality of nervous system physiology,0.7220073938369751
C1719565,"Obesity complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable","obesity complicating pregnancy, childbirth, or the puerperium,  as to episode of care or ",,,1.0
C0877771,"Angioneurotic edema, NEC in ICD9CM_2014","angioneurotic edema,",HP:0100665,Angioedema,0.9997387528419495
C1561793,aspiration of meconium with respiratory symptoms,aspiration of meconium ,HP:0004401,Meconium ileus,0.7400322556495667
C0232867,Orthostatic proteinuria,orthostatic proteinuria,HP:0011277,Abnormality of the urinary system physiology,0.7340967655181885
C2712343,ALLERGIC RHINITIS NEC in ICD9CM,allergic rhinitis,HP:0003193,Allergic rhinitis,0.9966453909873962
C0158253,Displacement of cervical intervertebral disc without myelopathy,displacement of cervical intervertebral disc ,HP:0003319,Abnormality of the cervical spine,0.7688849568367004
C2349736,Methicillin susceptible Staphylococcus aureus septicemia,methicillin susceptible staphylococcus aureus septicemia,,,1.0
C0494165,Secondary malignant neoplasm of liver,secondary malignant neoplasm of liver,HP:0002896,Neoplasm of the liver,0.9973512887954712
C0339286,Acute hydrops keratoconus,acute hydrops keratoconus,,,1.0
C0035317,Retinal Hemorrhage,,HP:0000573,Retinal hemorrhage,1.0
C0158759,"Longitudinal deficiency, tarsals or metatarsals, complete or partial (with or without incomplete phalangeal deficiency)","longitudinal deficiency, tarsals or metatarsals, complete or  (",,,1.0
C0158758,"Longitudinal deficiency, fibular, complete or partial (with or without distal deficiencies, incomplete)","longitudinal deficiency, fibular, complete or  (",,,1.0
C0158752,Transverse deficiency of leg,transverse deficiency of leg,HP:0002814,Abnormality of the lower limb,0.9340789318084717
C0158757,"Longitudinal deficiency, tibia, complete or partial (with or without distal deficiencies, incomplete)","longitudinal deficiency, tibia, complete or  (",,,1.0
C0158755,"Longitudinal deficiency, femoral, complete or partial (with or without distal deficiencies, incomplete)","longitudinal deficiency, femoral, complete or  (",,,1.0
C0158754,"Longitudinal deficiency, combined, involving femur, tibia, and fibula (complete or incomplete)","longitudinal deficiency, combined, involving femur, tibia, and fibula (complete or incomplete)",,,1.0
C0009726,Congenital pigmentary skin anomalies,congenital pigmentary skin anomalies,HP:0001000,Abnormality of skin pigmentation,0.8583613038063049
C0029888,Suppurative otitis media,suppurative otitis media,HP:0000403,Recurrent otitis media,0.6322071552276611
C0264865,Valvular endocarditis,valvular endocarditis,HP:0100584,Endocarditis,0.5777686238288879
C0029882,Otitis Media,,HP:0000388,Otitis media,1.0
C0399424,Periapical abscess no sinus,periapical abscess no sinus,,,1.0
C1455742,Chronic mucoid otitis media,chronic mucoid otitis media,,,1.0
C0040997,Trigeminal Neuralgia,,HP:0100661,Trigeminal neuralgia,1.0
C0494831,Other atopic dermatitis, atopic dermatitis,HP:0001047,Atopic dermatitis,0.998683750629425
C0158344,Nontraumatic rupture of flexor tendons of hand and wrist,nontraumatic rupture of flexor tendons of hand and wrist,,,1.0
C0495447,Other transitory neonatal electrolyte disturbance, transitory neonatal electrolyte disturbance,HP:0001939,Abnormality of metabolism/homeostasis,0.704941987991333
C0477986,Other specified congenital malformations of eye,phenotypic abnormality of eye,HP:0000478,Abnormality of the eye,0.839434802532196
C0020480,Hyperlipoproteinemia Type IV,hyperlipoproteinemia type iv,HP:0001939,Abnormality of metabolism/homeostasis,0.8058695197105408
C0497156,Lymphadenopathy,,HP:0002716,Lymphadenopathy,1.0
C0456017,Chronic respiratory disease in perinatal period,chronic respiratory disease in perinatal period,,,1.0
C0677631,heart valve transplant,heart valve transplant,HP:0001654,Abnormality of the heart valves,0.7924069762229919
C2873812,Other neutropenia, neutropenia,HP:0001875,Neutropenia,0.9972802400588989
C0011251,Delusional disorder,delusional disorder,HP:0000708,Behavioral abnormality,0.5459840893745422
C0030312,Pancytopenia,,HP:0001876,Pancytopenia,1.0
C0266095,Congenital microcheilia,congenital microcheilia,,,1.0
C0155488,Partial loss or necrosis of ear ossicles, loss or necrosis of ear ossicles,HP:0000377,Abnormality of the pinna,0.6399017572402954
C0155489,Cholesteatoma of attic,cholesteatoma of attic,HP:0009797,Cholesteatoma,0.9816346764564514
C0155483,Other middle ear adhesions and combinations, middle ear adhesions and combinations,,,1.0
C0155486,"Impaired mobility of ear ossicles, except malleus","impaired mobility of ear ossicles, except malleus",HP:3000022,Abnormality of cartilage of external ear,0.8998666405677795
C0155487,Discontinuity or dislocation of ear ossicles,discontinuity or dislocation of ear ossicles,HP:3000022,Abnormality of cartilage of external ear,0.6287040114402771
C0161432,"T7-T12 level spinal cord injury, unspecified","t7-t12 level spinal cord injury, ",,,1.0
C0160258,"Extradural hemorrhage following injury, without mention of open intracranial wound, with brief (less than 1 hour) loss of consciousness","extradural hemorrhage following injury, ",HP:0100310,Epidural hemorrhage,0.8520938754081726
C1305964,Urethra and bladder neck atresia and stenosis,urethra and bladder neck atresia and stenosis,,,1.0
C0034734,Raynaud Disease,raynaud disease,HP:0000951,Abnormality of the skin,0.7137994766235352
C0270191,Perinatal intraventricular hemorrhage,perinatal intraventricular hemorrhage,HP:0007023,Antenatal intracerebral hemorrhage,0.8983802795410156
C0015310,Exotropia,,HP:0000577,Exotropia,1.0
C1719352,"Other encephalitis, myelitis, and encephalomyelitis due to other infections classified elsewhere"," encephalitis, myelitis, and encephalomyelitis due to  infections classified elsewhere",HP:0012486,Myelitis,0.9907543659210205
C1719350,Other encephalitis and encephalomyelitis due to other infections classified elsewhere, encephalitis and encephalomyelitis due to  infections classified elsewhere,HP:0002719,Recurrent infections,0.5202214121818542
