cui,cui_name,curated_name,hpo,hpo_name
C0375311,Phlebitis and thrombophlebitis of superficial veins of upper extremities,phlebitis and thrombophlebitis of superficial veins of upper extremities,,
C0375314,Iatrogenic hypotension,iatrogenic hypotension,,
C0020565,Hypertrophy of Breast,,HP:0010313,Breast hypertrophy
C0375273,Occlusion and stenosis of basilar artery without mention of cerebral infarction,occlusion and stenosis of basilar artery ,,
C0375277,Occlusion and stenosis of vertebral artery without mention of cerebral infarction,occlusion and stenosis of vertebral artery ,,
C0159324,"Fracture of mandible, closed","fracture of mandible, closed",,
C0375275,Occlusion and stenosis of carotid artery without mention of cerebral infarction,occlusion and stenosis of carotid artery ,,
C1561612,"Other diseases of larynx, NEC in ICD9CM"," diseases of larynx,",,
C0154544,"Other, mixed, or unspecified drug abuse, unspecified",", mixed, or  drug abuse, ",,
C0154545,"Other, mixed, or unspecified drug abuse, continuous",", mixed, or  drug abuse, continuous",,
C0154549,Musculoskeletal malfunction arising from mental factors,musculoskeletal malfunction ,,
C0477889,Fetus and newborn affected by other and unspecified conditions of umbilical cord,fetus and newborn affected by  and  conditions of umbilical cord,,
C0477888,Fetus and newborn affected by other compression of umbilical cord,fetus and newborn affected by  compression of umbilical cord,,
C0265678,Congenital fusion of spine,congenital fusion of spine,,
C0265677,Congenital hemivertebra,,HP:0002937,Hemivertebrae
C0154326,Drug-induced delirium,drug-induced delirium,,
C0154325,Other specified drug-induced mental disorders, specified drug-induced mental disorders,,
C0027868,Neuromuscular Diseases,neuromuscular diseases,,
C0036416,Scleritis,,HP:0100532,Scleritis
C0036415,Sclerema Neonatorum,sclerema neonatorum,,
C0266094,Congenital macrocheilia,congenital macrocheilia,,
C0155949,Exfoliation of teeth due to systemic causes,exfoliation of teeth due to systemic causes,,
C0155948,Other diseases and conditions of the teeth and supporting structures, diseases and conditions of the teeth and supporting structures,,
C0155940,Displaced tooth,displaced tooth,,
C0155943,Arthralgia of temporomandibular joint,arthralgia of temporomandibular joint,,
C0155942,"Temporomandibular joint disorders, adhesions and ankylosis (bony or fibrous)","temporomandibular joint disorders, adhesions and ankylosis (bony or fibrous)",,
C0745890,Reflex sympathetic dystrophy of lower extremity,reflex sympathetic dystrophy of lower extremity,,
C0155947,Dentofacial anomaly,dentofacial anomaly,,
C0155946,Other specified dentofacial anomalies, specified dentofacial anomalies,,
C0236827,Mixed receptive-expressive language disorder,language delay,,
C0019158,Hepatitis,,HP:0012115,Hepatitis
C0152436,"Hymen, Imperforate",,HP:0030011,Imperforate hymen
C0375026,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,viral and chlamydial infection in conditions classified elsewhere and of  site,,
C0276148,Non-arthropod-borne viral diseases of the central nervous system,non-arthropod-borne viral diseases of the central nervous system,,
C0159917,Closed anterior dislocation of humerus,closed anterior dislocation of humerus,,
C0159915,Traumatic closed dislocation of temporomandibular joint,traumatic closed dislocation of temporomandibular joint,,
C0159912,"Closed multiple fractures involving both lower limbs, lower with upper limb, and lower limb(s) with rib(s) and sternum","closed multiple fractures involving both lower limbs, lower ",,
C0159911,"Multiple fractures involving both lwr limbs, lwr with upr limb, and lwr limb with rib and sternum","multiple fractures involving both lwr limbs, lwr ",,
C1279412,periodic paralysis (finding),,HP:0003768,Periodic paralysis
C0156795,"Tuberculosis of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition","tuberculosis of m, complicating pregnancy, childbirth, or the puerperium, delivered, ",,
C0043037,Common wart,common wart,,
C0042749,Viremia,viremia,,
C0021831,Intestinal Diseases,,HP:0002242,Abnormality of the intestine
C0021830,Intestinal disaccharidase deficiencies and disaccharide malabsorption,intestinal disaccharidase deficiencies and disaccharide malabsorption,,
C2607928,Nonsenile cataract,nonsenile cataract,,
C2712941,Disorder of stomach function and feeding problems in newborn,disorder of stomach function and feeding problems in newborn,,
C0032310,"Pneumonia, Viral","pneumonia, viral",,
C0161317,"Blisters, epidermal loss [second degree] of multiple specified sites","blisters, epidermal loss [second degree] of multiple specified sites",,
C1260466,Long-term (current) use of steroids,long-term (current) use of steroids,,
C0003811,Cardiac Arrhythmia,,HP:0011675,Arrhythmia
C0017086,Gangrene,,HP:0100758,Gangrene
C0261972,Suicide and self-inflicted injury by hanging,suicide and self-inflicted injury by hanging,,
C0261974,Suicide and self-inflicted injury by other specified means,suicide and self-inflicted injury by  specified means,,
C0154229,Arrested development following protein-calorie malnutrition,arrested development following protein-calorie malnutrition,,
C0014761,"Erythroblastosis, Fetal","erythroblastosis, fetal",,
C0042818,Visual discomfort,visual discomfort,,
C0013238,Dry Eye Syndromes,dry eye syndromes,,
C2712365,Unspecified voice and resonance disorder, voice and resonance disorder,,
C2712366,Other voice and resonance disorders, voice and resonance disorders,,
C0154154,"Thyrotoxicosis without mention of goiter or other cause, and without mention of thyrotoxic crisis or storm",thyrotoxicosis ,,
C0154157,Postoperative hypothyroidism,postoperative hypothyroidism,,
C0270246,Meconium plug syndrome,meconium plug syndrome,,
C0154152,Thyrotoxicosis of other specified origin without mention of thyrotoxic crisis or storm,thyrotoxicosis of  specified origin ,,
C0270249,Hematemesis AND/OR melena due to swallowed maternal blood,hematemesis and/or melena due to swallowed maternal blood,,
C0154158,Other postablative hypothyroidism, postablative hypothyroidism,,
C0494362,Other specified metabolic disorders, specified metabolic disorders,,
C0695243,Mechanical complication of colostomy and enterostomy,mechanical complication of colostomy and enterostomy,,
C0695242,Neurogenic Bowel,neurogenic bowel,,
C0695241,Other complications of gastrostomy, complications of gastrostomy,,
C0695240,Mechanical complication of gastrostomy,mechanical complication of gastrostomy,,
C0006267,Bronchiectasis,,HP:0002110,Bronchiectasis
C0431467,Other anomalies of external ear with impairment of hearing, anomalies of external ear ,,
C0431468,"Middle ear anomaly, excluding ossicles","middle ear anomaly, excluding ossicles",,
C0393774,Sleep-Related Bruxism,sleep-related bruxism,,
C0302379,"Other pulmonary insufficiency, NEC in ICD9CM"," pulmonary insufficiency,",,
C0302370,"Special symptoms or syndromes, NEC in ICD9CM_2014","special symptoms or syndromes,",,
C0302371,"Other and unspecified special symptoms or syndromes, NEC in ICD9CM_2014"," and  special symptoms or syndromes,",,
C0302373,"Other specified disturbances of conduct, NEC in ICD9CM_2014"," specified disturbances of conduct,",,
C0085648,Synovial Cyst,synovial cyst,,
C0155206,Sensory disorder of eyelid,sensory disorder of eyelid,,
C0155207,Other sensorimotor disorders of eyelid, sensorimotor disorders of eyelid,,
C0155204,Lid retraction or lag,lid retraction or lag,,
C0155202,Mechanical ptosis,mechanical ptosis,,
C0158323,Other enthesopathy of ankle and tarsus, enthesopathy of ankle and tarsus,,
C0158321,Tibialis tendinitis,tibialis tendinitis,,
C0158328,Trigger Finger Disorder,trigger finger disorder,,
C0341089,Other functional disorders of intestine, functional disorders of intestine,,
C0497134,excessive crying of infant,excessive crying of infant,,
C0158377,Acute osteomyelitis involving lower leg,acute osteomyelitis involving lower leg,,
C0000737,Abdominal Pain,,HP:0002027,Abdominal pain
C0267756,Abscess of peritoneum,,HP:0100592,Peritoneal abscess
C1314803,Disorder of eye and adnexa NOS,disorder of eye and adnexa nos,,
C0161418,C1-C4 level with anterior cord syndrome,c1-c4 level ,,
C0221540,Other alteration of consciousness, alteration of consciousness,,
C0036202,Sarcoidosis,sarcoidosis,,
C1719330,Other decreased white blood cell count, decreased white blood cell count,,
C0042029,Urinary tract infection,urinary tract infection,,
C0042024,Urinary Incontinence,,HP:0000020,Urinary incontinence
C0152260,Soemmerring's ring,soemmerring's ring,,
C0042023,Increased frequency of micturition,,HP:0100515,Pollakisuria
C0152262,Cystitis cystica,cystitis cystica,,
C0005741,Blepharitis,,HP:0000498,Blepharitis
C0400985,Gallbladder calculus with acute cholecystitis and no obstruction,gallbladder calculus ,,
C0005745,Blepharoptosis,,HP:0000508,Ptosis
C0005744,Blepharophimosis,,HP:0000581,Blepharophimosis
C0005747,Blepharospasm,,HP:0000643,Blepharospasm
C0021447,"Inguinal hernia, without mention of obstruction or gangrene","inguinal hernia, ",,
C0348597,Other forms of acute pericarditis, forms of acute pericarditis,,
C0160239,"Subdural hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness",subdural hemorrhage following injury ,,
C0160238,"Subdural hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness",subdural hemorrhage following injury ,,
C0008049,Chickenpox,chickenpox,,
C0043194,Wiskott-Aldrich Syndrome,wiskott-aldrich syndrome,,
C1260873,Aortic valve disorder,aortic valve disorder,,
C1140680,Malignant neoplasm of ovary,malignant neoplasm of ovary,,
C0700625,"Allergy, unspecified, NEC in ICD9CM","allergy, ,",,
C1135250,Other respiratory problems after birth, respiratory problems after birth,,
C0029528,Other bursitis, bursitis,,
C0157239,"Primary uterine inertia, unspecified as to episode of care or not applicable","primary uterine inertia,  as to episode of care or ",,
C0029525,Other cyst of bone, cyst of bone,,
C0029523,Other B-complex deficiencies, b-complex deficiencies,,
C0029520,Other anomalies of great veins, anomalies of great veins,,
C0302414,"Central nervous system complications, NEC in ICD9CM_2014","central nervous system complications,",,
C0238124,Necrotizing fasciitis,necrotizing fasciitis,,
C0338810,Subchronic latent schizophrenia,subchronic latent schizophrenia,,
C0085437,"Meningitis, Bacterial","meningitis, bacterial",,
C0160905,"Other and unspecified superficial injury of foot and toes, infected"," and  superficial injury of foot and toes, infected",,
C0160904,"Other and unspecified superficial injury of foot and toes, without mention of infection"," and  superficial injury of foot and toes, ",,
C0160907,Superficial injury of eyelid AND/OR periocular area,superficial injury of eyelid and/or periocular area,,
C0431479,Other specified anomalies of ear, specified anomalies of ear,,
C0160909,Other and unspecified superficial injuries of eye, and  superficial injuries of eye,,
C0160908,Superficial injury of conjunctiva,superficial injury of conjunctiva,,
C0030805,Bullous pemphigoid,bullous pemphigoid,,
C0375336,Iatrogenic pneumothorax,iatrogenic pneumothorax,,
C0375334,chronic obstructive asthma with status asthmaticus,chronic obstructive asthma ,,
C0375333,"Chronic obstructive asthma, unspecified","chronic obstructive asthma, ",,
C0236802,Gender identity disorder of childhood,gender identity disorder of ,,
C0236800,Panic disorder with agoraphobia,panic disorder ,,
C0869289,"Interpersonal problems, not elsewhere classified","interpersonal problems, not elsewhere classified",,
C0009952,Febrile Convulsions,,HP:0002373,Febrile seizures
C0260774,Care involving orthoptic training,care involving orthoptic training,,
C0375259,Mitral and aortic valve disease,mitral and aortic valve disease,,
C0020541,"Hypertension, Portal",,HP:0001409,Portal hypertension
C0375257,Abnormal auditory perception,abnormal auditory perception,,
C0006384,Bundle-Branch Block,,HP:0011710,Bundle branch block
C1561638,"Chronic kidney disease, Stage I","chronic kidney disease, stage i",,
C0006386,Bunion,bunion,,
C0155177,Eczematous dermatitis of eyelid,eczematous dermatitis of eyelid,,
C0348860,Hypertensive renal disease with renal failure,hypertensive renal disease ,,
C0740179,Bone marrow replaced by transplant,bone marrow replaced by transplant,,
C0158115,Contracture of lower leg joint,contracture of lower leg joint,,
C0010314,Cri-du-Chat Syndrome,cri-du-chat syndrome,,
C1442903,Exostoses,,HP:0100777,Exostoses
C0155699,Cardiomyopathy in other diseases classified elsewhere,cardiomyopathy in  diseases classified elsewhere,,
C0155926,Disorder of hard tissues of teeth,disorder of hard tissues of teeth,,
C0155924,Other specified disorders of tooth development and eruption, specified disorders of tooth development and eruption,,
C0155922,Tooth development and eruption disorder,tooth development and eruption disorder,,
C0155921,Tracheostomy complication,tracheostomy complication,,
C0004604,Back Pain,,HP:0003418,Back pain
C0004608,Retinopathy background,retinopathy background,,
C0038002,Splenomegaly,,HP:0001744,Splenomegaly
C0156005,"Chronic or unspecified duodenal ulcer with hemorrhage, without mention of obstruction",chronic or  duodenal ulcer ,,
C0008924,Cleft Lip,,HP:0000204,Cleft upper lip
C0008925,Cleft Palate,,HP:0000175,Cleft palate
C0549470,Preglaucoma,preglaucoma,,
C0156008,"Chronic or unspecified duodenal ulcer with perforation, without mention of obstruction",chronic or  duodenal ulcer ,,
C0155073,Superficial keratitis without conjunctivitis,superficial keratitis ,,
C0155074,Superficial keratitis,superficial keratitis,,
C0155078,Photokeratitis,photokeratitis,,
C0276162,Adenoviral enteritis,adenoviral enteritis,,
C0159973,"Other tear of cartilage or meniscus of knee, current"," tear of cartilage or meniscus of knee, current",,
C0554123,Unilateral inguinal hernia with obstruction but no gangrene,unilateral inguinal hernia ,,
C0347071,Malignant neoplasm of other and unspecified sites,malignant neoplasm of  and  sites,,
C0036690,Septicemia,,HP:0100806,Sepsis
C0398661,Chronic congestive splenomegaly,chronic congestive splenomegaly,,
C1456263,Unspecified viral hepatitis C without hepatic coma, viral hepatitis c ,,
C1456262,Acute hepatitis C without mention of hepatic coma,acute hepatitis c ,,
C0001163,Vestibulocochlear Nerve Diseases,vestibulocochlear nerve diseases,,
C0001169,Acquired coagulation factor deficiency,acquired coagulation factor deficiency,,
C1260404,primary hypercoagulable state,primary hypercoagulable state,,
C1260408,Encephalopathy NEC in ICD10CM,encephalopathy,,
C1260409,myasthenia gravis without acute exacerbation,myasthenia gravis ,,
C0263840,Haemarthrosis involving lower leg,haemarthrosis involving lower leg,,
C0155233,Epiphora due to excess lacrimation,epiphora due to excess lacrimation,,
C0155544,External ear conductive hearing loss,external ear conductive hearing loss,,
C0079957,Other specified bullous dermatoses, specified bullous dermatoses,,
C0936215,Vitamin B 6 Deficiency,,HP:0008326,Vitamin B6 deficiency
C0155541,Other otorrhea, otorrhea,,
C2937358,Cerebral Hemorrhage,,HP:0001342,Cerebral hemorrhage
C0155234,Epiphora due to insufficient drainage,epiphora due to insufficient drainage,,
C0752304,Hypoxic-Ischemic Encephalopathy,hypoxic-ischemic encephalopathy,,
C1719565,"Obesity complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable","obesity complicating pregnancy, childbirth, or the puerperium,  as to episode of care or ",,
C0877771,"Angioneurotic edema, NEC in ICD9CM_2014","angioneurotic edema,",,
C1561793,aspiration of meconium with respiratory symptoms,aspiration of meconium ,,
C0232867,Orthostatic proteinuria,orthostatic proteinuria,,
C2712343,ALLERGIC RHINITIS NEC in ICD9CM,allergic rhinitis,,
C0158253,Displacement of cervical intervertebral disc without myelopathy,displacement of cervical intervertebral disc ,,
C2349736,Methicillin susceptible Staphylococcus aureus septicemia,methicillin susceptible staphylococcus aureus septicemia,,
C0494165,Secondary malignant neoplasm of liver,secondary malignant neoplasm of liver,,
C0339286,Acute hydrops keratoconus,acute hydrops keratoconus,,
C0035317,Retinal Hemorrhage,,HP:0000573,Retinal hemorrhage
C0158759,"Longitudinal deficiency, tarsals or metatarsals, complete or partial (with or without incomplete phalangeal deficiency)","longitudinal deficiency, tarsals or metatarsals, complete or  (",,
C0158758,"Longitudinal deficiency, fibular, complete or partial (with or without distal deficiencies, incomplete)","longitudinal deficiency, fibular, complete or  (",,
C0158752,Transverse deficiency of leg,transverse deficiency of leg,,
C0158757,"Longitudinal deficiency, tibia, complete or partial (with or without distal deficiencies, incomplete)","longitudinal deficiency, tibia, complete or  (",,
C0158755,"Longitudinal deficiency, femoral, complete or partial (with or without distal deficiencies, incomplete)","longitudinal deficiency, femoral, complete or  (",,
C0158754,"Longitudinal deficiency, combined, involving femur, tibia, and fibula (complete or incomplete)","longitudinal deficiency, combined, involving femur, tibia, and fibula (complete or incomplete)",,
C0009726,Congenital pigmentary skin anomalies,congenital pigmentary skin anomalies,,
C0029888,Suppurative otitis media,suppurative otitis media,,
C0264865,Valvular endocarditis,valvular endocarditis,,
C0029882,Otitis Media,,HP:0000388,Otitis media
C0399424,Periapical abscess no sinus,periapical abscess no sinus,,
C1455742,Chronic mucoid otitis media,chronic mucoid otitis media,,
C0040997,Trigeminal Neuralgia,,HP:0100661,Trigeminal neuralgia
C0494831,Other atopic dermatitis, atopic dermatitis,,
C0158344,Nontraumatic rupture of flexor tendons of hand and wrist,nontraumatic rupture of flexor tendons of hand and wrist,,
C0495447,Other transitory neonatal electrolyte disturbance, transitory neonatal electrolyte disturbance,,
C0477986,Other specified congenital malformations of eye,phenotypic abnormality of eye,,
C0020480,Hyperlipoproteinemia Type IV,hyperlipoproteinemia type iv,,
C0497156,Lymphadenopathy,,HP:0002716,Lymphadenopathy
C0456017,Chronic respiratory disease in perinatal period,chronic respiratory disease in perinatal period,,
C0677631,heart valve transplant,heart valve transplant,,
C2873812,Other neutropenia, neutropenia,,
C0011251,Delusional disorder,delusional disorder,,
C0030312,Pancytopenia,,HP:0001876,Pancytopenia
C0266095,Congenital microcheilia,congenital microcheilia,,
C0155488,Partial loss or necrosis of ear ossicles, loss or necrosis of ear ossicles,,
C0155489,Cholesteatoma of attic,cholesteatoma of attic,,
C0155483,Other middle ear adhesions and combinations, middle ear adhesions and combinations,,
C0155486,"Impaired mobility of ear ossicles, except malleus","impaired mobility of ear ossicles, except malleus",,
C0155487,Discontinuity or dislocation of ear ossicles,discontinuity or dislocation of ear ossicles,,
C0161432,"T7-T12 level spinal cord injury, unspecified","t7-t12 level spinal cord injury, ",,
C0160258,"Extradural hemorrhage following injury, without mention of open intracranial wound, with brief (less than 1 hour) loss of consciousness","extradural hemorrhage following injury, ",,
C1305964,Urethra and bladder neck atresia and stenosis,urethra and bladder neck atresia and stenosis,,
C0034734,Raynaud Disease,raynaud disease,,
C0270191,Perinatal intraventricular hemorrhage,perinatal intraventricular hemorrhage,,
C0015310,Exotropia,,HP:0000577,Exotropia
C1719352,"Other encephalitis, myelitis, and encephalomyelitis due to other infections classified elsewhere"," encephalitis, myelitis, and encephalomyelitis due to  infections classified elsewhere",,
C1719350,Other encephalitis and encephalomyelitis due to other infections classified elsewhere, encephalitis and encephalomyelitis due to  infections classified elsewhere,,
C0018674,Craniocerebral Trauma,craniocerebral trauma,,
C0404531,Hypertrophy of labia,,HP:0000065,Labial hypertrophy
C0401143,Allergic gastroenteritis and colitis,allergic gastroenteritis and colitis,,
C0024103,Mass in breast,mass in breast,,
C1719682,Other genetic testing of female, genetic testing of female,,
C1719684,Other genetic testing of male, genetic testing of male,,
C0160748,Injury of radial blood vessel,injury of radial blood vessel,,
C0008711,Chronic rhinitis,,HP:0002257,Chronic rhinitis
C0008712,Chronic sphenoidal sinusitis,chronic sphenoidal sinusitis,,
C0153886,Acute myeloid leukemia in remission,acute myeloid leukemia in remission,,
C0018099,Gout,,HP:0001997,Gout
C1313885,Hereditary edema of legs,hereditary edema of legs,,
C0158506,Curvature of spine associated with other conditions,curvature of spine associated ,,
C0158507,kyphosis associated with other conditions,kyphosis associated ,,
C0158504,Scoliosis due to radiation,scoliosis due to radiation,,
C0158505,Thoracogenic scoliosis,thoracogenic scoliosis,,
C0158502,Resolving infantile idiopathic scoliosis,resolving   scoliosis,,
C0158503,Progressive infantile idiopathic scoliosis,progressive   scoliosis,,
C0158509,scoliosis associated with other conditions,scoliosis associated ,,
C2711989,Abnormal function study of cardiovascular system NEC in ICD9CM,abnormal function study of cardiovascular system,,
C1561831,Congenital and hereditary thrombocytopenic purpura,congenital and hereditary thrombocytopenic purpura,,
C1561830,"Primary thrombocytopenia,unspecified","primary thrombocytopenia,",,
C0153083,Hepatitis delta without mention of active hepatitis B disease with hepatic coma,hepatitis delta ,,
C0029505,"Hand, except finger injury","hand, except finger injury",,
C0029507,"Other specified sites, including multiple injury"," specified sites, including multiple injury",,
C0029506,"Knee, leg, ankle, and foot injury","knee, leg, ankle, and foot injury",,
C0029509,Unspecified site injury, site injury,,
C0029508,Other and unspecified injury to trunk, and  injury to trunk,,
C0157258,"Unspecified abnormality of labour, antepartum"," abnormality of labour, antepartum",,
C0027611,Neonatal dacryocystitis and conjunctivitis (disorder),neonatal dacryocystitis and conjunctivitis (disorder),,
C0001621,Adrenal Gland Diseases,adrenal gland diseases,,
C0553983,Other peripheral vascular disease, peripheral vascular disease,,
C2921272,Other specified prophylactic or treatment measure, specified prophylactic or treatment measure,,
C0031154,Peritonitis,,HP:0002586,Peritonitis
C0151482,Megaloblastic anemia due to folate deficiency,megaloblastic anemia due to folate deficiency,,
C1706492,Other neoplastic lymphatic and hematopoietic tissues, neoplastic lymphatic and hematopoietic tissues,,
C0375352,Other esophagitis, esophagitis,,
C0375359,Chronic left-sided ulcerative colitis,chronic left-sided ulcerative colitis,,
C0006012,Borderline Personality Disorder,,HP:0012076,Borderline personality disorder
C0869515,"Precocious sexual development and puberty, NEC in ICD9CM_2014","precocious puberty,",,
C0151620,Hypertensive Encephalopathy,hypertensive encephalopathy,,
C0375239,"Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus","migraine, , ",,
C0154050,Hemangioma of intracranial structure,hemangioma of intracranial structure,,
C0154052,Hemangioma of intra-abdominal structure,hemangioma of intra-abdominal structure,,
C0154054,benign neoplasm of lymph nodes,benign neoplasm of lymph nodes,,
C0154055,Benign neoplasm of other specified sites,benign neoplasm of  specified sites,,
C0795685,"Disorders of meninges, not elsewhere classified in ICD10CM","disorders of meninges, not elsewhere classified in icd10cm",,
C0085413,"Polycystic Kidney, Autosomal Dominant","polycystic kidney, autosomal dominant",,
C0079157,Reduction deformities of brain,reduction deformities of brain,,
C0406078,Cellulitis and abscess of hand excluding digits,cellulitis and abscess of hand excluding digits,,
C0339877,Acute tracheitis without obstruction,acute tracheitis ,,
C0031485,Phenylketonurias,phenylketonurias,,
C0027821,Neurocirculatory Asthenia,neurocirculatory asthenia,,
C0030353,Papilledema,,HP:0001085,Papilledema
C0029226,"Hallucinations, Organic","hallucinations, organic",,
C0155673,Other chronic pulmonary heart diseases, chronic pulmonary heart diseases,,
C0155904,Respiratory conditions due to other specified external agents,respiratory conditions due to  specified external agents,,
C0158283,Ossification of posterior longitudinal ligament in cervical region,ossification of posterior longitudinal ligament in cervical region,,
C0155670,Other specified forms of chronic ischemic heart disease, specified forms of chronic ischemic heart disease,,
C0155677,Other specified diseases of pulmonary circulation, specified diseases of pulmonary circulation,,
C0158284,Cervical syndrome NEC in ICD9CM_2014,cervical syndrome,,
C0155903,Chronic and other pulmonary manifestations due to radiation,chronic and  pulmonary manifestations due to radiation,,
C0155902,Acute pulmonary manifestations due to radiation,acute pulmonary manifestations due to radiation,,
C0155679,Acute pericarditis,acute pericarditis,,
C0155248,Acquired stenosis of nasolacrimal duct,acquired stenosis of nasolacrimal duct,,
C0272842,Open dislocation of knee,open dislocation of knee,,
C0155012,Generalized visual field contraction or constriction,generalized visual field contraction or constriction,,
C0024894,Mastitis,mastitis,,
C0001363,Acute vascular insufficiency of intestine (disorder),acute vascular insufficiency of intestine (disorder),,
C0001361,Acute tonsillitis,acute tonsillitis,,
C0001365,Acute ill-defined cerebrovascular disease,acute ill-defined cerebrovascular disease,,
C0156287,Prolapsed urethral mucosa,prolapsed urethral mucosa,,
C0156284,Postoperative urethral stricture,postoperative urethral stricture,,
C0236773,Depressed bipolar I disorder,depressed bipolar disorder,,
C0004622,"Bacterial infection, unspecified, in conditions classified elsewhere and of unspecified site","bacterial infection, , in conditions classified elsewhere and of  site",,
C0004626,"Pneumonia, Bacterial","pneumonia, bacterial",,
C1456241,Narcolepsy in conditions classified elsewhere without cataplexy,narcolepsy in conditions classified elsewhere ,,
C1456240,Narcolepsy without cataplexy,narcolepsy ,,
C0021879,"Intracranial injury of other and unspecified nature without mention of open intracranial wound, unspecified state of consciousness",intracranial injury of  and  nature ,,
C0021878,Intracranial injury of other and unspecified nature without mention of open intracranial wound,intracranial injury of  and  nature ,,
C0021874,Intracranial abscess,intracranial abscess,,
C0266573,Congenital ptosis,,HP:0007970,Congenital ptosis
C0154864,Other dystrophies primarily involving the sensory retina, dystrophies primarily involving the sensory retina,,
C0157735,Other specified disorders of sweat glands, specified disorders of sweat glands,,
C0157736,Other specified diseases of sebaceous glands, specified diseases of sebaceous glands,,
C0157731,Other specified diseases of nail, specified diseases of nail,,
C0014544,Epilepsy,epilepsy,,
C0018790,Cardiac Arrest,,HP:0001695,Cardiac arrest
C0159956,Traumatic dislocation of joint of finger,traumatic dislocation of joint of finger,,
C0018799,Heart Diseases,heart diseases,,
C0156797,"Tuberculosis, antepartum","tuberculosis, antepartum",,
C1510471,Vitamin Deficiency,vitamin deficiency,,
C1719542,Intravaginal torsion of spermatic cord,intravaginal torsion of spermatic cord,,
C0348651,Other diseases of capillaries, diseases of capillaries,,
C0348650,Embolism and thrombosis of other arteries,embolism and thrombosis of  arteries,,
C0002453,Amenorrhea,amenorrhea,,
C0700297,Carrier or suspected carrier of Group B streptococcus,carrier or suspected carrier of group b streptococcus,,
C1955773,Unilateral neural hearing loss,unilateral neural hearing loss,,
C1955772,Unilateral conductive hearing loss,unilateral conductive hearing loss,,
C1955771,Acquired auditory processing disorder,acquired auditory processing disorder,,
C1955777,"Deaf, nonspeaking, not elsewhere classifiable","deaf, nonspeaking, not elsewhere classifiable",,
C1955775,"Mixed hearing loss, unilateral","mixed hearing loss, unilateral",,
C1955774,Unilateral sensory hearing loss,unilateral sensory hearing loss,,
C0018939,Hematological Disease,hematological disease,,
C1290810,Viral hepatitis A without hepatic coma,viral hepatitis a ,,
C0158773,Other congenital musculoskeletal anomalies, congenital musculoskeletal anomalies,,
C0158775,Congenital anomaly of spine,,HP:0003468,Abnormality of the vertebrae
C0158776,Congenital absence of vertebra,,HP:0008465,Absent vertebrae
C0009702,Unilateral congenital dislocation of hip,unilateral congenital dislocation of hip,,
C0013274,Patent ductus arteriosus,,HP:0001643,Patent ductus arteriosus
C0009568,Complications of transplanted organ,complications of transplanted organ,,
C0271225,"Impairment level: blindness, one eye - low vision other eye","impairment level: blindness, one eye - low vision  eye",,
C0037997,Splenic Diseases,splenic diseases,,
C0155242,Stenosis and insufficiency of lacrimal passages,stenosis and insufficiency of lacrimal passages,,
C0155243,Eversion of lacrimal punctum,eversion of lacrimal punctum,,
