cui,cui_name,curated_name,hpo,hpo_name
C0261432,Accidental poisoning by drug primarily acting on smooth and skeletal muscle and respiratory system,accidental poisoning by drug primarily acting on smooth and skeletal muscle and respiratory system,,
C0261431,"Accidental poisoning by water, mineral, and uric acid metabolism drugs","accidental poisoning by water, mineral, and uric acid metabolism drugs",,
C0261430,Accidental poisoning by drug primarily affecting gastrointestinal system,accidental poisoning by drug primarily affecting gastrointestinal system,,
C0261435,Accidental poisoning by drugs,accidental poisoning by drugs,,
C0261434,Accidental poisoning by other specified drugs,accidental poisoning by  specified drugs,,
C0158962,Hemolytic disease of fetus OR newborn due to RhD isoimmunization,hemolytic disease of fetus or newborn due to rhd isoimmunization,,
C0221565,Encounter due to family history of arthritis,encounter due to family history of arthritis,,
C1719353,Encephalitis and encephalomyelitis following immunization procedures,encephalitis and encephalomyelitis following immunization procedures,,
C0161292,Full-thickness skin loss due to burn (third degree NOS) of ankle,full-thickness skin loss due to burn (third degree nos) of ankle,,
C0260902,Screening examination for malaria in ICD9CM,screening examination for malaria in icd9cm,,
C0260909,Screening examination for other specified parasitic infections,screening examination for  specified parasitic infections,,
C0489990,Hemiplegia of dominant side as late effect of cerebrovascular disease,hemiplegia of dominant side as late effect of cerebrovascular disease,,
C0489991,Hemiplegia of nondominant side as late effect of cerebrovascular disease,hemiplegia of nondominant side as late effect of cerebrovascular disease,,
C0489994,"Late effects of cerebrovascular disease, monoplegia of upper limb affecting dominant side","late effects of cerebrovascular disease, monoplegia of upper limb affecting dominant side",,
C0160054,Sprains and strains of unspecified site of shoulder and upper arm,sprains and strains of  site of shoulder and upper arm,,
C0160960,"Contusion of multiple sites, NEC in ICD9CM_2014","contusion of multiple sites,",,
C0260750,Encounter for fitting and adjustment of orthodontic device,encounter for fitting and adjustment of orthodontic device,,
C0260753,Fitting and adjustment of orthopedic device,fitting and adjustment of orthopedic device,,
C0260755,Fitting and adjustment of other and unspecified device,fitting and adjustment of  and  device,,
C0869513,"Accidental poisoning by aromatic analgesics, not elsewhere classified","accidental poisoning by aromatic analgesics, not elsewhere classified",,
C0260757,Aftercare involving internal fixation device,aftercare involving internal fixation device,,
C0260756,Encounter due to other orthopedic aftercare,encounter due to  orthopedic aftercare,,
C0260758,Encounter for unspecified orthopedic aftercare,encounter for  orthopedic aftercare,,
C1443030,Opiate and narcotic poisoning,opiate and narcotic poisoning,,
C0272905,Sprain of ligament of tarsometatarsal joint,sprain of ligament of tarsometatarsal joint,,
C0435644,Closed fracture of scaphoid bone of wrist,closed fracture of scaphoid bone of wrist,,
C0416707,Accidental poisoning by other cleansing and polishing agents,accidental poisoning by  cleansing and polishing agents,,
C0161609,Poisoning by other and unspecified agents primarily affecting the cardiovascular system,poisoning by  and  agents primarily affecting the cardiovascular system,,
C0161606,Poisoning by other antihypertensive agents,poisoning by  antihypertensive agents,,
C0161601,Poisoning by cardiotonic glycosides and drugs of similar action,poisoning by cardiotonic glycosides and drugs of similar action,,
C0161602,Poisoning by antilipemic and antiarteriosclerotic drugs,poisoning by antilipemic and antiarteriosclerotic drugs,,
C0160550,"Open wound of other and unspecified parts of neck, without mention of complication","open wound of  and  parts of neck, ",,
C0274278,Late effect of intracranial injury without skull fracture,late effect of intracranial injury ,,
C0274271,late effects of accident,late effects of accident,,
C0158368,Residual foreign body in soft tissue,residual foreign body in soft tissue,,
C0261411,Accidental poisoning by psychostimulants,accidental poisoning by psychostimulants,,
C0261413,Accidental poisoning by other drugs acting on central and autonomic nervous system,accidental poisoning by  drugs acting on central and autonomic nervous system,,
C0261412,Accidental poisoning by central nervous system stimulants,accidental poisoning by central nervous system stimulants,,
C0261414,Accidental poisoning by anticonvulsant and antiparkinsonism drugs,accidental poisoning by anticonvulsant and antiparkinsonism drugs,,
C0261418,Accidental poisoning by parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics,accidental poisoning by parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics,,
C0260956,Screening for other and unspecified cardiovascular conditions,screening for  and  cardiovascular conditions,,
C0435898,Closed fracture of upper end of fibula,closed fracture of upper end of fibula,,
C0260922,Encounter for screening for malignant neoplasm,encounter for screening for malignant neoplasm,,
C0260924,Encounter due to screening for thyroid disorder,encounter due to screening for thyroid disorder,,
C0260925,Encounter for screening for diabetes mellitus,encounter for screening for diabetes mellitus,,
C3161345,Anaphylactic reaction due to other specified food,anaphylactic reaction due to  specified food,,
C0160498,Open wound of scalp with complication,open wound of scalp ,,
C0160496,Other open wound of head, open wound of head,,
C0161018,Foreign body in mouth,foreign body in mouth,,
C0161019,Foreign body in stomach,foreign body in stomach,,
C0161010,Foreign body in pharynx,foreign body in pharynx,,
C0161011,Foreign body in larynx,foreign body in larynx,,
C0161013,Foreign body in trachea,foreign body in trachea,,
C0161014,Foreign body in main bronchus,foreign body in main bronchus,,
C0161015,Foreign body in other specified parts bronchus and lung,foreign body in  specified parts bronchus and lung,,
C0161016,Foreign body in tracheobronchial tree,foreign body in tracheobronchial tree,,
C0160949,Contusion of thigh,contusion of thigh,,
C0160941,"Contusion of wrist and hand(s), except finger(s) alone","contusion of wrist and hand(s), except finger(s) alone",,
C0160943,Contusion of wrist,contusion of wrist,,
C0481749,Encounter for fitting or adjustment of dental prosthesis,encounter for fitting or adjustment of dental prosthesis,,
C0260731,Elective surgery for purposes other than remedying health states,elective surgery for purposes  than remedying health states,,
C0260739,Encounter for fitting and adjustment of artificial leg (complete) (partial),encounter for fitting and adjustment of artificial leg (complete) (),,
C0260738,Encounter for fitting and adjustment of artificial arm (complete) (partial),encounter for fitting and adjustment of artificial arm (complete) (),,
C1561677,Encounter for antineoplastic chemotherapy,encounter for antineoplastic chemapy,,
C1561673,Encounter for weaning from respirator [ventilator],encounter for weaning from respirator [ventilator],,
C0481354,Late effect of motor vehicle accident,late effect of motor vehicle accident,,
C0481355,Sequelae of other and unspecified transport accidents,sequelae of  and  transport accidents,,
C0481358,Late effect of self inflicted injury,late effect of self inflicted injury,,
C0878729,Other specified conditions influencing health status, specified conditions influencing health status,,
C0878721,"Low birth weight status, 2000-2500 grams","low birth weight status, 2000-2500 grams",,
C0878720,"Low birth weight status, 1500-1999 grams","low birth weight status, 1500-1999 grams",,
C0261060,Motor vehicle traffic accident involving collision with other vehicle injuring passenger in motor vehicle other than motorcycle,motor vehicle traffic accident involving collision ,,
C0260517,Family history of psychiatric condition,family history of psychiatric condition,,
C0261065,Motor vehicle traffic accident involving collision with other vehicle injuring pedal cyclist,motor vehicle traffic accident involving collision ,,
C0851323,Salicylates causing adverse effects in therapeutic use,salicylates causing adverse effects in therapeutic use,,
C0851324,Succinimides causing adverse effects in therapeutic use,succinimides causing adverse effects in therapeutic use,,
C0273330,Open wound of vagina without complication,open wound of vagina ,,
C1719526,Mucositis (ulcerative) due to antineoplastic therapy,mucositis (ulcerative) due to antineoplastic therapy,,
C0274870,"Toxic effect of gas, fumes AND/OR vapors","toxic effect of gas, fumes and/or vapors",,
C0435669,Closed fracture of multiple sites of metacarpus,closed fracture of multiple sites of metacarpus,,
C0496615,Need for immunization against tetanus alone,need for immunization against tetanus alone,,
C0160536,Other and unspecified open wound of head without mention of complication, and  open wound of head ,,
C0160537,"Other and unspecified open wound of head, complicated"," and  open wound of head, complicated",,
C0160531,Open wound of buccal mucosa with complication,open wound of buccal mucosa ,,
C0412862,Benzodiazepine poisoning,benzodiazepine poisoning,,
C0260386,Need for prophylactic vaccination and inoculation against other specified disease,need for prophylactic vaccination and inoculation against  specified disease,,
C0260387,Need for prophylactic vaccination and inoculation against unspecified single disease,need for prophylactic vaccination and inoculation against  single disease,,
C0260384,Need for prophylactic vaccination and inoculation against other arthropod-borne viral diseases,need for prophylactic vaccination and inoculation against  arthropod-borne viral diseases,,
C0261652,Accident due to excessive cold of other specified origin,accident due to excessive cold of  specified origin,,
C0261659,Accident due to abandonment or neglect of infants and helpless persons,accident due to abandonment or neglect of infants and helpless persons,,
C0261380,Accidents occurring in unspecified place,accidents occurring in  place,,
C0261384,Accidental poisoning by other opiates and related narcotics,accidental poisoning by  opiates and related narcotics,,
C0261470,Accidental poisoning by other and unspecified agricultural and horticultural chemical and pharmaceutical preparations other than plant foods and fertilizers,accidental poisoning by  and  agricultural and horticultural chemical and pharmaceutical preparations  than plant foods and fertilizers,,
C1261324,Encounter due to chemotherapy follow-up,encounter due to chemapy follow-up,,
C1261325,Family history of malignant neoplasm of breast,family history of malignant neoplasm of breast,,
C1135244,29-30 weeks of gestation completed,29-30 weeks of gestation completed,,
C1135246,33-34 weeks of gestation completed,33-34 weeks of gestation completed,,
C2712538,Encounter due to allergy to insects and arachnids,encounter due to allergy to insects and arachnids,,
C0260763,Encounter for attention to colostomy,encounter for attention to colostomy,,
C0161709,Toxic effect of unspecified metal,toxic effect of  metal,,
C0700172,Need for Mumps vaccination,need for mumps vaccination,,
C0700173,Need for measles vaccination,need for measles vaccination,,
C0700174,Need for rubella vaccination,need for rubella vaccination,,
C0261147,Nontraffic accident involving other off-road motor vehicle injuring passenger in motor vehicle other than motorcycle,nontraffic accident involving  off-road motor vehicle injuring passenger in motor vehicle  than motorcycle,,
C2910939,visit for: fitting and adjustment of extracorporeal dialysis catheter,visit for: fitting and adjustment of extracorporeal dialysis catheter,,
C0272686,Closed fracture of base of metacarpal bone other than first metacarpal,closed fracture of base of metacarpal bone  than first metacarpal,,
C0260497,"Personal history of irradiation, presenting hazards to health","personal history of irradiation, presenting hazards to health",,
C0009938,Contusions,contusions,,
C0260714,Encounter due to deficiencies of neck or trunk,encounter due to deficiencies of neck or trunk,,
C0260361,Need for prophylactic vaccination and inoculation against bacterial diseases,need for prophylactic vaccination and inoculation against bacterial diseases,,
C0261049,Other motor vehicle traffic accident involving collision with motor vehicle injuring passenger in motor vehicle other than motorcycle, motor vehicle traffic accident involving collision ,,
C0260363,Need for prophylactic vaccination and inoculation against typhoid-paratyphoid alone [TAB],need for prophylactic vaccination and inoculation against typhoid-paratyphoid alone [tab],,
C0273313,"Open wound of chest wall, uncomplicated","open wound of chest wall, uncomplicated",,
C0273315,"Open wound of back, uncomplicated","open wound of back, uncomplicated",,
C0273314,Open wound of chest wall with complication,open wound of chest wall ,,
C0273318,"Open wound of buttock, uncomplicated","open wound of buttock, uncomplicated",,
C0496634,Need for immunization against measles-mumps-rubella [MMR],need for immunization against measles-mumps-rubella [mmr],,
C0160511,"Open wound of face, without mention of complication","open wound of face, ",,
C0160517,Open wound of face with complication,open wound of face ,,
C0274236,Contusion of lower limb,contusion of lower limb,,
C0700433,Special screening examination for unspecified viral disease,special screening examination for  viral disease,,
C0412842,Poisoning by iron AND/OR its compounds,poisoning by iron and/or its compounds,,
C0260500,"Personal history of poisoning, presenting hazards to health","personal history of poisoning, presenting hazards to health",,
C0260502,Other specified personal history presenting hazards to health, specified personal history presenting hazards to health,,
C0260503,"Personal history of noncompliance with medical treatment, presenting hazards to health",personal history of noncompliance ,,
C0260506,Family history of malignant neoplasm of gastrointestinal tract,family history of malignant neoplasm of gastrointestinal tract,,
C0261450,Accidental poisoning by lead paints,accidental poisoning by lead paints,,
C2712802,Encounter for fitting and adjustment of other gastrointestinal appliance and device,encounter for fitting and adjustment of  gastrointestinal appliance and device,,
C0161586,Poisoning by other specified psychotropic agents,poisoning by  specified psychotropic agents,,
C0161585,Poisoning by psychostimulant,poisoning by psychostimulant,,
C0161581,"Poisoning by other antipsychotics, neuroleptics, and major tranquilizers","poisoning by  antipsychotics, neuroleptics, and major tranquilizers",,
C0159619,Closed fracture of two ribs,closed fracture of two ribs,,
C0159618,Closed fracture of one rib,closed fracture of one rib,,
C0481706,Encounter due to problem with swallowing or mastication,encounter due to problem ,,
C0159669,Closed fracture of acromial process of scapula,closed fracture of acromial process of scapula,,
C0006434,Burn injury,burn injury,,
C0272684,Closed fracture of base of thumb,closed fracture of base of thumb,,
C0272687,Closed fracture of shaft of metacarpal bone,closed fracture of shaft of metacarpal bone,,
C0272688,Closed fracture of neck of metacarpal bone,closed fracture of neck of metacarpal bone,,
C0435335,"Closed fracture of mandible, body, other and unspecified","closed fracture of mandible, body,  and ",,
C0260869,Observation following other accident,observation following  accident,,
C0260868,Encounter due to observation following accident at work,encounter due to observation following accident at work,,
C0260860,Encounter due to Unspecified general medical examination,encounter due to  general medical examination,,
C0260867,Encounter due to observation for suspected tuberculosis,encounter due to observation for suspected tuberculosis,,
C0260865,Observation for other suspected mental condition,observation for  suspected mental condition,,
C0260864,Observation for childhood or adolescent antisocial behavior,observation for  or adolescent antisocial behavior,,
C2919035,Encounter due to vaccination not carried out,encounter due to vaccination not carried out,,
C0160063,Sprain of wrist,sprain of wrist,,
C0160060,Sprains and strains of other specified sites of elbow and forearm,sprains and strains of  specified sites of elbow and forearm,,
C0160061,Sprains and strains of unspecified site of elbow and forearm,sprains and strains of  site of elbow and forearm,,
C0160067,Other sprains and strains of wrist, sprains and strains of wrist,,
C0160068,Sprain of hand,sprain of hand,,
C0260698,Other postprocedural status, postprocedural status,,
C0260690,Other artificial opening status, artificial opening status,,
C0260691,Encounter due to artificial opening status,encounter due to artificial opening status,,
C0260694,Postsurgical renal dialysis status,postsurgical renal dialysis status,,
C0261619,Other and unspecified accidental fall, and  accidental fall,,
C0260529,Family history of other blood disorders,family history of  blood disorders,,
C0260526,Encounter due to family history of diabetes mellitus,encounter due to family history of diabetes mellitus,,
C0260524,Family history of other musculoskeletal diseases,family history of  musculoskeletal diseases,,
C0260522,Encounter due to family history of asthma,encounter due to family history of asthma,,
C0260523,Family history of other chronic respiratory conditions,family history of  chronic respiratory conditions,,
C0260520,Encounter due to family history of ischemic heart disease,encounter due to family history of ischemic heart disease,,
C0159073,Other nonspecific findings on examination of blood, nonspecific findings on examination of blood,,
C0159078,Other nonspecific findings on examination of urine, nonspecific findings on examination of urine,,
C0260968,Screening for unspecified condition,screening for  condition,,
C0161321,Burn of mouth and pharynx,burn of mouth and pharynx,,
C0435830,"Closed fracture proximal femur, subtrochanteric","closed fracture proximal femur, subtrochanteric",,
C0161218,Erythema due to burn (first degree) of back of hand,erythema due to burn (first degree) of back of hand,,
C1135312,Other genetic carrier status, genetic carrier status,,
C0261613,Accidental fall from chair or bed,accidental fall from chair or bed,,
C0481115,Systemically used antifungal antibiotics causing adverse effects in therapeutic use,systemically used antifungal antibiotics causing adverse effects in therapeutic use,,
C0261611,Accidental fall from playground equipment,accidental fall from playground equipment,,
C0260364,Need for prophylactic vaccination and inoculation against tuberculosis [BCG],need for prophylactic vaccination and inoculation against tuberculosis [bcg],,
C0497074,Adverse effects in the therapeutic use of other and unspecified agents primarily affecting the cardiovascular system,adverse effects in the therapeutic use of  and  agents primarily affecting the cardiovascular system,,
C0869481,"Other counseling, not elsewhere classified"," counseling, not elsewhere classified",,
C0161687,Toxic effect of homologues of benzene,toxic effect of homologues of benzene,,
C0161683,Toxic effect of other specified alcohols,toxic effect of  specified alcohols,,
C0161689,Toxic effect of carbon disulfide,toxic effect of carbon disulfide,,
C0260841,"Follow-up examination, following combined treatment","follow-up examination, following combined treatment",,
C0260840,Other follow-up examination, follow-up examination,,
C0260843,Encounters for administrative purposes,encounters for administrative purposes,,
C0260845,Encounter for issue of repeat prescription,encounter for issue of repeat prescription,,
C0260847,Encounters for other specified administrative purpose,encounters for  specified administrative purpose,,
C0260849,Encounters for unspecified administrative purpose,encounters for  administrative purpose,,
C0272638,Closed fracture of shaft of radius,closed fracture of shaft of radius,,
C0029829,Other specified sites of sprains and strains, specified sites of sprains and strains,,
C0159794,Closed fracture of distal phalanx or phalanges of hand,closed fracture of distal phalanx or phalanges of hand,,
C0159795,Closed fracture of multiple sites of phalanx or phalanges of hand,closed fracture of multiple sites of phalanx or phalanges of hand,,
C0159796,Open fracture of one or more phalanges of hand,open fracture of one or more phalanges of hand,,
C0159791,Closed fracture of one or more phalanges of hand,closed fracture of one or more phalanges of hand,,
C0159793,Closed fracture of middle or proximal phalanx or phalanges of hand,closed fracture of middle or proximal phalanx or phalanges of hand,,
C0159799,Open fracture of distal phalanx or phalanges of hand,open fracture of distal phalanx or phalanges of hand,,
C0476338,Nonspecific findings on examination of urine,nonspecific findings on examination of urine,,
C0260545,examination; infant or child,examination; infant or child,,
C0260541,Family history of congenital anomalies,family history of congenital anomalies,,
C0260542,Family history of allergic disorders,family history of allergic disorders,,
C0261490,Accidental poisoning by other metals and their compounds and fumes,accidental poisoning by  metals and their compounds and fumes,,
C0261495,accidental poisoning by unspecified solid or liquid substance,accidental poisoning by  solid or liquid substance,,
C0261494,Accidental poisoning by other specified solid or liquid substances,accidental poisoning by  specified solid or liquid substances,,
C0392650,Measles without mention of complication,measles ,,
C0260771,Encounter for extracorporeal dialysis,encounter for extracorporeal dialysis,,
C0375668,"Late effect of adverse effect of drug, medicinal or biological substance","late effect of adverse effect of drug, medicinal or biological substance",,
C0375662,"Open wound of tooth (broken) (fractured) (due to trauma), without mention of complication","open wound of tooth (broken) (fractured) (due to trauma), ",,
C0375663,"Open wound of tongue and floor of mouth, uncomplicated","open wound of tongue and floor of mouth, uncomplicated",,
C0159659,Closed fracture of clavicle,closed fracture of clavicle,,
C0392098,Encounter due to lung transplant status,encounter due to lung transplant status,,
C0274397,Hemorrhage AND/OR hematoma complicating procedure,hemorrhage and/or hematoma complicating procedure,,
C1313934,Encounter for being a bone marrow donor,encounter for being a bone marrow donor,,
C0009443,Common Cold,common cold,,
C0160329,Contusion of lung without open wound into thorax,contusion of lung ,,
C2911643,Encounter due to family history of osteoporosis,encounter due to family history of osteoporosis,,
C0869240,Burn of unspecified degree of nose (septum),burn of  degree of nose (septum),,
C0490057,"Open wound of other and multiple sites of face, without mention of complication","open wound of  and multiple sites of face, ",,
C0490056,"Open wound of ear, other and multiple sites, complicated","open wound of ear,  and multiple sites, complicated",,
C0490059,"Open wound of other and multiple sites of mouth, without mention of complication","open wound of  and multiple sites of mouth, ",,
C0490058,"Open wound of face, other and multiple sites, complicated","open wound of face,  and multiple sites, complicated",,
C0261796,Antineoplastic and immunosuppressive drugs causing adverse effects in therapeutic use,antineoplastic and immunosuppressive drugs causing adverse effects in therapeutic use,,
C0261795,Antiallergic and antiemetic drugs causing adverse effects in therapeutic use,antiallergic and antiemetic drugs causing adverse effects in therapeutic use,,
C0261578,"Surgical operation with transplant of whole organ causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",surgical operation ,,
C0261579,"Surgical operation with implant of artificial internal device causing abnormal patient reaction, or later complication,without mention of misadventure at time of operation",surgical operation ,,
C0261577,"Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure","surgical operation and  surgical procedures as the cause of abnormal reaction of the patient, or of later complication, ",,
C0261575,Other specified misadventures during medical care, specified misadventures during medical care,,
C0260823,Encounter for dietary surveillance and counseling,encounter for dietary surveillance and counseling,,
C0260821,Encounter due to Healthy person accompanying sick person,encounter due to healthy person accompanying sick person,,
C0260828,Encounter due to convalescence after chemotherapy,encounter due to convalescence after chemapy,,
C0272647,Closed fracture of distal end of ulna,closed fracture of distal end of ulna,,
C0272469,Closed fracture of ramus of mandible,closed fracture of ramus of mandible,,
C1135298,Encounter for aftercare following surgery for neoplasm,encounter for aftercare following surgery for neoplasm,,
C1135299,Encounter for aftercare following surgery for injury and trauma,encounter for aftercare following surgery for injury and trauma,,
C0476681,Encounter for HIV Counseling,encounter for hiv counseling,,
C0476359,Nonspecific (abnormal) findings on radiological and other examination of skull and head,nonspecific (abnormal) findings on radiological and  examination of skull and head,,
C0700498,Encounter due to parent-child conflict,encounter due to parent-child conflict,,
C0261427,Accidental poisoning by primarily systemic agents,accidental poisoning by primarily systemic agents,,
C0451998,Sunburn of second degree,sunburn of second degree,,
C0273259,Open wound of scalp without complication,open wound of scalp ,,
C0375643,"Open wound of auditory canal, uncomplicated","open wound of auditory canal, uncomplicated",,
C0375641,"Open wound of external ear, unspecified site, uncomplicated","open wound of external ear,  site, uncomplicated",,
C0261409,Accidental poisoning by antidepressants,accidental poisoning by antidepressants,,
C0036114,Salmonella food poisoning,salmonella food poisoning,,
C0160122,Concussion with less than 1 hour loss of consciousness,concussion ,,
C0160121,Concussion with no loss of consciousness,concussion ,,
C0160126,Concussion with loss of consciousness,concussion ,,
C0038814,Sunburn,sunburn,,
C0274041,Burn of shoulder,burn of shoulder,,
C0260796,Encounter due to Holiday relief care,encounter due to holiday relief care,,
C0260793,Encounter due to inadequate housing,encounter due to inadequate housing,,
C0260798,Encounter due to other specified housing or economic circumstances,encounter due to  specified housing or economic circumstances,,
C0869098,"Other adverse food reactions, not elsewhere classified in ICD10CM"," adverse food reactions, not elsewhere classified in icd10cm",,
C0261770,Other specified antibiotics causing adverse effects in therapeutic use, specified antibiotics causing adverse effects in therapeutic use,,
C0261771,Unspecified antibiotic causing adverse effects in therapeutic use, antibiotic causing adverse effects in therapeutic use,,
C0261773,Adverse reaction to sulfonamides,adverse reaction to sulfonamides,,
C0261778,Other antiprotozoal drugs causing adverse effects in therapeutic use, antiprotozoal drugs causing adverse effects in therapeutic use,,
C0261516,"Injury due to unintentional cut, puncture, perforation or haemorrhage during endoscopic examination","injury due to unintentional cut, puncture, perforation or haemorrhage during endoscopic examination",,
C0261510,Accidental poisoning by unspecified gases and vapors,accidental poisoning by  gases and vapors,,
C0041831,Unspecified drug or medicinal substance causing adverse effects in therapeutic use, drug or medicinal substance causing adverse effects in therapeutic use,,
C3161335,Other anaphylactic reaction, anaphylactic reaction,,
